Key,Source,Context,Changes,English,Russian,Spanish

zombieDemolitionElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Demolition,[A7FF9F]ЭЛИТНЫЙ[-] Разрушитель,[A7FF9F]ÉLITE[-] Demolición
zombieDemolitionInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Demolition,[FF9E7B]АДСКИЙ ЭЛИТНЫЙ[-] Разрушитель,[FF9E7B]ÉLITE INFERNAL[-] Demolición

zombieFemaleFatElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Big Mama,[A7FF9F]ЭЛИТНАЯ[-] Толстуха,[A7FF9F]ÉLITE[-] Gran Mamá
zombieFemaleFatChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Big Mama,[71FFFF]ЗАРЯЖЕННАЯ ЭЛИТНАЯ[-] Толстуха,[71FFFF]ÉLITE CARGADA[-] Gran Mamá
zombieFemaleFatInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Big Mama,[FF9E7B]АДСКАЯ ЭЛИТНАЯ[-] Толстуха,[FF9E7B]ÉLITE INFERNAL[-] Gran Mamá

zombieFatHawaiianElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Tourist,[A7FF9F]ЭЛИТНЫЙ[-] Турист,[A7FF9F]ÉLITE[-] Turista
zombieFatHawaiianChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Tourist,[71FFFF]ЗАРЯЖЕННЫЙ ЭЛИТНЫЙ[-] Турист,[71FFFF]ÉLITE CARGADA[-] Turista
zombieFatHawaiianInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Tourist,[FF9E7B]АДСКИЙ ЭЛИТНЫЙ[-] Турист,[FF9E7B]ÉLITE INFERNAL[-] Turista

zombieCopElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Cop,[A7FF9F]ЭЛИТНЫЙ[-] Полицейский,[A7FF9F]ÉLITE[-] Policía
zombieCopChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Cop,[71FFFF]ЗАРЯЖЕННЫЙ ЭЛИТНЫЙ[-] Полицейский,[71FFFF]ÉLITE CARGADA[-] Policía
zombieCopInfernalElite,entityclasses,Entity,,[FF9E7B]INFERNAL ELITE[-] Cop,[FF9E7B]АДСКИЙ ЭЛИТНЫЙ[-] Полицейский,[FF9E7B]ÉLITE INFERNAL[-] Policía

zombieWightElite,entityclasses,Entity,,[A7FF9F]ELITE[-] Wight,[A7FF9F]ЭЛИТНЫЙ[-] Упырь,[A7FF9F]ÉLITE[-] Espectro
zombieWightChargedElite,entityclasses,Entity,,[71FFFF]CHARGED ELITE[-] Wight,[71FFFF]ЗАРЯЖЕННЫЙ ЭЛИТНЫЙ[-] Упырь,[71FFFF]ÉLITE CARGADA[-] Espectro
