Key,Source,Context,Changes,English,Russian,Spanish

foodT5-1,progression,Attribute,,Tier 5: SuperElixir Quest Runner,Уровень 5: Суперэликсир: Бегун по Квестам,Nivel 5: SuperElixir Corredor de Misiones
foodT5-2,progression,Attribute,,Tier 5: SuperElixir Melee Master,Уровень 5: Суперэликсир: Мастер Ближнего Боя,Nivel 5: SuperElixir Maestro de Cuerpo a Cuerpo
foodT5-3,progression,Attribute,,Tier 5: SuperElixir Miner Master,Уровень 5: Суперэликсир: Мастер Добычи,Nivel 5: SuperElixir Maestro Minero
foodT5-4,progression,Attribute,,Tier 5: SuperElixir Master of Trade,Уровень 5: Суперэликсир: Мастера Торговли,Nivel 5: SuperElixir Maestro del Comercio
foodT5-5,progression,Attribute,,Tier 5: SuperElixir Horde Expert,Уровень 5: Суперэликсир: Эксперт по Орде,Nivel 5: SuperElixir Experto en Hordas

superElixirTradeMaster,items,item,,[DECEA3]Super Elixir[-] Master of Trade,[DECEA3]Суперэликсир:[-] Мастера Торговли,[DECEA3]Super Elixir[-] Maestro del Comercio
superElixirTradeMasterDesc,items,item,,"You get the maximum when you trade.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nGrandpa's Awesome Sauce\nSuggar Butts\nPumpkin Cheesecake\n\nBase duration of all buffs [DECEA3]7 minutes[-]","Вы получаете максимум, когда торгуете.\nНакладывает на персонажа баффы:\n\nДедушкин эликсир для учебы\nКлассное дедушкино пойло\nАвось да небось\nТыквенный чизкейк\n\nБазовая длительность всех баффов: [DECEA3]7 минут[-]", "Obtienes el máximo al comerciar.\nAplica mejoras al personaje:\nElixir del Abuelo para el Estudio\nSalsa Impresionante del Abuelo\nCulitos de Azúcar\nTarta de Calabaza\n\nDuración base de todas las mejoras [DECEA3]7 minutos[-]"

superElixirQuestRunner,items,item,,[DECEA3]Super Elixir[-] Quest Runner,[DECEA3]Суперэликсир:[-] Бегун по Квестам,[DECEA3]Super Elixir[-] Corredor de Misiones
superElixirQuestRunnerDesc,items,item,,"He came, took everything apart, searched everything.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nEye Candy\nHackers\nSteroids\n\nBase duration of all buffs [DECEA3]8 minutes[-]","Пришел, обыскал, разобрал.\nНакладывает на персонажа баффы:\n\nДедушкин эликсир для учебы\nДраже удачи\nХакеры\nСтероиды\n\nБазовая длительность всех баффов: [DECEA3]8 минут[-]", "Vino, desarmó todo, lo buscó todo.\nAplica mejoras al personaje:\nElixir del Abuelo para el Estudio\nDulce para la Vista\nHackers\nEsteroides\n\nDuración base de todas las mejoras [DECEA3]8 minutos[-]"

superElixirHordeExpert,items,item,,[DECEA3]Super Elixir[-] Horde Expert,[DECEA3]Суперэликсир:[-] Эксперт по Орде,[DECEA3]Super Elixir[-] Experto en Hordas
superElixirHordeExpertDesc,items,item,,"You don't run from the horde. The horde runs from you.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nRecog\nFortbites\n\nBase duration of all buffs [DECEA3]7 minutes[-]","Вы не бежите от орды. Орда бежит от вас.\nНакладывает на персонажа баффы:\n\nДедушкин эликсир для учебы\nСокол\nФорт Байтс\n\nБазовая длительность всех баффов: [DECEA3]7 минут[-]", "No huyes de la horda. La horda huye de ti.\nAplica mejoras al personaje:\nElixir del Abuelo para el Estudio\nReconocimiento\nFortbites\n\nDuración base de todas las mejoras [DECEA3]7 minutos[-]"

superElixirMeleeMaster,items,item,,[DECEA3]Super Elixir[-] Melee Master,[DECEA3]Суперэликсир:[-] Мастер Ближнего Боя,[DECEA3]Super Elixir[-] Maestro de Cuerpo a Cuerpo
superElixirMeleeMasterDesc,items,item,,"In close combat you are indestructible.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nSkull Crushers\nFortbites\n\nBase duration of all buffs [DECEA3]7 minutes[-]","В ближнем бою вы несокрушимы.\nНакладывает на персонажа баффы:\n\nДедушкин эликсир для учебы\nДробитель черепов\nФорт Байтс\n\nБазовая длительность всех баффов: [DECEA3]7 минут[-]", "En combate cuerpo a cuerpo eres indestructible.\nAplica mejoras al personaje:\nElixir del Abuelo para el Estudio\nRompecráneos\nFortbites\n\nDuración base de todas las mejoras [DECEA3]7 minutos[-]"

superElixirMinerMaster,items,item,,[DECEA3]Super Elixir[-] Miner Master,[DECEA3]Суперэликсир:[-] Мастер Добычи,[DECEA3]Super Elixir[-] Maestro Minero
superElixirMinerMasterDesc,items,item,,"You can't dig enough.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nBlackstrap Coffee\nRock Busters\n\nBase duration of all buffs [DECEA3]7 minutes[-]","Копать да не перекопать.\nНакладывает на персонажа баффы:\n\nДедушкин эликсир для учебы\nКофе рудокопов\nRock Busters\n\nБазовая длительность всех баффов: [DECEA3]7 минут[-]", "No puedes cavar lo suficiente.\nAplica mejoras al personaje:\nElixir del Abuelo para el Estudio\nCafé de Melaza\nRompe Rocas\n\nDuración base de todas las mejoras [DECEA3]7 minutos[-]"
