Key,Source,Context,Changes,English,Russian,Spanish

keySmart,UI,Tooltip,,You have become smarter,Вы стали умнее,Te has vuelto más inteligente
keyObesity,UI,Tooltip,,You have lost weight,Вы похудели,Has perdido peso
keyDistrophia,UI,Tooltip,,You have gained weight,Вы набрали вес,Has ganado peso
keyAlarmism,UI,Tooltip,,You panic less,Вы меньше паникуете,Entras menos en pánico
keyBrittleBones,UI,Tooltip,,You have strengthened your bones,Вы укрепили кости,Has fortalecido tus huesos
keyWeakling,UI,Tooltip,,You have become stronger,Вы стали сильнее,Te has vuelto más fuerte
keyAllergySufferer,UI,Tooltip,,You get rid of allergies,Вы избавились от аллергии,Te has librado de las alergias
keyImmunity,UI,Tooltip,,You have strengthened your immunity,Вы укрепили иммунитет,Has fortalecido tu inmunidad
keyClumsy,UI,Tooltip,,You have developed your hand motor skills,Вы развили моторику рук,Has desarrollado tu motricidad fina
keyPacifist,UI,Tooltip,,You have become more aggressive,Вы стали агрессивней,Te has vuelto más agresivo
keyFearDark,UI,Tooltip,,You are less afraid of the dark,Вы меньше боитесь темноты,Le tienes menos miedo a la oscuridad
keyFearAnimals,UI,Tooltip,,You are less afraid of the animals,Вы меньше боитесь животных,Le tienes menos miedo a los animales
keyFearZombie,UI,Tooltip,,You are less afraid of the zombies,Вы меньше боитесь зомби,Le tienes menos miedo a los zombis
keyFearFire,UI,Tooltip,,You are less afraid of the fire,Вы меньше боитесь огня,Le tienes menos miedo al fuego
keyFearPain,UI,Tooltip,,You are less afraid of the pain,Вы меньше боитесь боли,Le tienes menos miedo al dolor
keySocialPhobia,UI,Tooltip,,You have become more social,Вы стали более социальным,Te has vuelto más sociable
keyLucker,UI,Tooltip,,You have become luckier,Вы стали удачливее,Te has vuelto más afortunado
keyCharismatic,UI,Tooltip,,You have become more charismatic,Вы стали харизматичнее,Te has vuelto más carismático

keyAthleticBuild,UI,Tooltip,,You have developed your body,Вы развили своё тело,Has desarrollado tu cuerpo
keyCourage,UI,Tooltip,,You have become more courageous,Вы стали отважнее,Te has vuelto más valiente
keyBodybuilder,UI,Tooltip,,You have developed your muscles,Вы развили свою мускулатуру,Has desarrollado tus músculos
keyFastAdaptation,UI,Tooltip,,You have developed immunity,Вы развили иммунитет,Has desarrollado inmunidad
keyHardening,UI,Tooltip,,You have hardened yourself,Вы закалились,Te has endurecido
keyExperiencedHunter,UI,Tooltip,,Now you hunt better,Теперь вы лучше охотитесь,Ahora cazas mejor
keyCrusher,UI,Tooltip,,Now you crush better,Теперь вы лучше крушите,Ahora aplastas mejor
keyFearless,UI,Tooltip,,You are less prone to stress,Вы меньше подвержены стрессу,Eres menos propenso al estrés
keyVeteranWasteland,UI,Tooltip,,You survive better in the wasteland,Вы лучше выживаете в пустоши,Sobrevives mejor en el páramo
keySchumacher,UI,Tooltip,,You are better at handling transport,Вы лучше управляетесь с транспортом,Manejas mejor el transporte
keyTeamPlayer,UI,Tooltip,,You work better in a team,Вы лучше работаете в команде,Trabajas mejor en equipo

reqCantFix,progression,Attribute,,Complete quests,Выполняйте задания,Completar tareas
reqExperiencedHunter,progression,Attribute,,Kill with light weapons,Убивайте легким оружием,Matar con armas ligeras
reqSmart,progression,Attribute,,Read more,Читайте больше,Lee más
reqObesity,progression,Attribute,,Move more,Больше двигайтесь,Muévete más
reqDistrophia,progression,Attribute,,Eat more,Больше кушайте,Come más
reqAlarmism,progression,Attribute,,Stay close to zombie clusters,Держитесь ближе к скоплениям зомби,Mantente cerca de los grupos de zombis
reqBrittleBones,progression,Attribute,,Eat vitamins and more calcium,Ешьте витамины и больше кальция,Come vitaminas y más calcio
reqWeakling,progression,Attribute,,Pump up your muscles,Качайте мускулатуру,Desarrolla tus músculos
reqAllergySufferer,progression,Attribute,,Spend more time in the forest,Проводите больше времени в лесу,Pasa más tiempo en el bosque
reqImmunity,progression,Attribute,,Spend more time in dangerous biomes,Проводите больше времени в опасных биомах,Pasa más tiempo en biomas peligrosos
reqClumsy,progression,Attribute,,Cut up the bodies,Разделывайте туши,Descuartiza los cuerpos
reqPacifist,progression,Attribute,,Get more hits,Получайте больше ударов,Recibe más golpes
reqFearDark,progression,Attribute,,Spend more time at night,Проводите больше времени ночью,Pasa más tiempo por la noche
reqFearAnimals,progression,Attribute,,Kill more aggressive animals,Убивайте больше агрессивных животных,Mata más animales agresivos
