Key,Source,Context,Changes,English,Russian,Spanish

xuiComboHeadHit,UI,XUI,,HEAD HIT,УДАР В ГОЛОВУ,GOLPE EN LA CABEZA
xuiComboBodyHit,UI,XUI,,BODY HIT,УДАР ПО ТЕЛУ,GOLPE AL CUERPO
xuiComboArmsHit,UI,XUI,,ARMS HIT,УДАР ПО РУКАМ,GOLPE EN LOS BRAZOS
xuiComboLegsHit,UI,XUI,,LEGS HIT,УДАР ПО НОГАМ,GOLPE EN LAS PIERNAS
xuiComboPrimaryHit,UI,XUI,,NORMAL HIT,ОБЫЧНЫЙ УДАР,GOLPE NORMAL
xuiComboSecondaryHit,UI,XUI,,ENHANCED HIT,СИЛЬНЫЙ УДАР,GOLPE MEJORADO
xuiComboJump,UI,XUI,,JUMP,ПРЫЖОК,SALTAR
xuiComboCrouch,UI,XUI,,SQUAT,ПРИСЕДАНИЕ,AGACHARSE

perkCombosMeleeName,progression,perk,,Melee Combos,Комбинатор,Combos cuerpo a cuerpo
perkCombosMeleeDesc,progression,perk,,"Using a melee weapon has a chance to trigger a combo. Performing it grants you a random bonus based on the combo's difficulty. If the combo's chance is triggered, there's a [DECEA3]50%[-] chance the combo will be advanced; if this chance is triggered, there's an additional [DECEA3]50%[-] chance the combo will be difficult. The more difficult the combo, the greater the bonus.","При использовании оружия ближнего боя есть шанс запустить комбинацию.\nВыполнив её, вы получаете случайный бонус — в зависимости от сложности комбинации.\nЕсли шанс комбинации сработал, то с вероятностью [DECEA3]50%[-] комбинация будет продвинутой.\nЕсли сработал и этот шанс, то с вероятностью [DECEA3]50%[-] комбинация будет сложной.\nЧем сложнее комбинация, тем больше бонус от её выполнения.","Usar un arma cuerpo a cuerpo puede activar un combo. Realizarlo otorga una bonificación aleatoria según su dificultad. Si se activa la probabilidad del combo, hay un [DECEA3]50%[-] de probabilidad de que sea avanzado; si se activa esta probabilidad, hay un [DECEA3]50%[-] adicional de probabilidad de que sea difícil. Cuanto más difícil sea el combo, mayor será la bonificación."
perkCombosMeleeRank1Desc,progression,Skills,,Newbie,Новичок,Novato
perkCombosMeleeRank1LongDesc,progression,Skills,,"You're new to combos. Chance to trigger a combination is [DECEA3]6%[-], bonus duration is [DECEA3]1m 30s[-].","Вы новичок в комбинациях. Шанс запуска комбинации [DECEA3]6%[-], длительность бонуса [DECEA3]1м 30с[-].","Eres nuevo en los combos. La probabilidad de activar una combinación es del [DECEA3]6%[-] y la duración de la bonificación es de [DECEA3]1m 30s[-]."
perkCombosMeleeRank2Desc,progression,Skills,,Student,Ученик,Alumno
