Key,Source,Context,Changes,English,Russian,Spanish

statPlayerExpGainKill,ui_display,Item stat,,"XP Gain, Killing","Опыт за убийство","Ganancia de XP, Matanza"
statPlayerExpGainKillMelee,ui_display,Item stat,,"XP Gain: Melee Killing","Опыт за убийство: Ближний бой","Ganancia de XP, Asesinato cuerpo a cuerpo"
statAttacksPerMinuteEnhanced,ui_display,Item stat,,"Attack speed: Enhanced","Скорость атаки: Усиление","Velocidad de ataque, Aumentar"
statStaminaRestEnhanced,ui_display,Item stat,,"Stamina rest: Enhanced","Восст. выносливости: Усиление","Rec. de resistencia, Aumentar"
statStaminaRestMelee,ui_display,Item stat,,"Stamina rest: Melee","Восст. выносливости: Ближний бой","Rec. de resistencia, Lucha cercana"
statTrapsExpGain,ui_display,Item stat,,"XP Gain: Traps","Получаемый опыт: Ловушки","Ganancia de XP, Trampas"
statBookwormChance,ui_display,Item stat,,"Search for knowledge","Поиск знаний","Búsqueda de conocimiento"
statReloadSpeedTurrets,ui_display,Item stat,,"Reload speed: Turrets","Скорость перезарядки: Турели","Velocidad de recarga, Torretas"

modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«Усиление»[-] Копья,Lanzas [FF6666]Aumentar[-]
modEnhancedSpearDesc,item_modifiers,mod,,"Enhancement for improved armor. Installation in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.","Усиление для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению копьями при ношении полного комплекта улучшенного набора брони.",Mejora para armadura mejorada. Instalación en guantes.\n\nOtorga una bonificación a la competencia con lanza al llevar una armadura mejorada completa."
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«Усиление»[-] Дубины,Clubs [FF6666]Aumentar[-]
modEnhancedClubDesc,item_modifiers,mod,,"Enhancement for improved armor. Installation in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.","Усиление для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению дубинами при ношении полного комплекта улучшенного набора брони.",Mejora para armadura mejorada. Instalación en guantes.\n\nOtorga una bonificación a la competencia con el garrote al usar un conjunto completo de armadura mejorada."
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Усиление»[-] Кувалды,Mazos [FF6666]Aumentar[-]
modEnhancedSledgehammerDesc,item_modifiers,mod,,"Enhancement for improved armor. Installation in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved Armor.","Усиление для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению кувалдами при ношении полного комплекта улучшенного набора брони.",Mejora para armadura mejorada. Instalación en guantes.\n\nOtorga una bonificación a la habilidad con el mazo al usar un conjunto completo de armadura mejorada."
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«Усиление»[-] Кастеты,Nudillos de bronce [FF6666]Aumentar[-]
modEnhancedKnucklesDesc,item_modifiers,mod,,"Enhancement for improved armor. Installation in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.","Усиление для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению кастетами при ношении полного комплекта улучшенного набора брони.",Mejora para armadura mejorada. Instalación en guantes.\n\nOtorga una bonificación a la habilidad con los nudillos al usar un conjunto completo de armadura mejorada."
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and machetes,[FF6666]«Усиление»[-] Ножи и мачете,Cuchillos y machetes [FF6666]Aumentar[-]
