Key,Source,Context,Changes,English,Russian,Spanish

MagazineNotes,items,Resources,,Notes from magazines,Заметки из журналов,Notas de revistas
MagazineNotesDesc,items,Resources,,"By collecting enough notes, you can get an additional skill point.","Собрав достаточное количество заметок, вы сможете получить дополнительное очко навыка.","Al recoger suficientes notas, puedes obtener un punto de habilidad adicional."
Magazine_AddSkillPoint,items,Books,,Skills Journal,Журнал навыков,Revista de habilidades
Magazine_AddSkillPointDesc,items,Books,,"When you read it, you will receive 1 skill point.","При прочтении вы получите 1 очко навыка.","Al leerla, recibirás 1 punto de habilidad."
SkillPointBundle5,items,Item,,Bundle 5 skill points,Набор 5 очков навыков,Paquete de 5 puntos de habilidad
SkillPointBundle5Desc,items,Item,,"The bundle contains 5 skills journals","Набор содержит 5 журналов навыков.","El paquete contiene 5 revistas de habilidades."
SkillPointBundle25,items,Item,,Bundle 25 skill points,Набор 25 очков навыков,Paquete de 25 puntos de habilidad
SkillPointBundle25Desc,items,Item,,"The bundle contains 25 skills journals","Набор содержит 25 журналов навыков.","El paquete contiene 25 revistas de habilidades."

buffXPBonusName,buffs,buff,,Bonus to experience gained,Бонус к получаемому опыту,Bonificación a la experiencia obtenida
buffXPBonusTooltip,buffs,buff,,Experience gained increased by 10%,Получаемый опыт увеличен на 10%,Experiencia obtenida aumentada en un 10%
buffXPBonusIncDesc,buffs,Buff,,"You have a good teacher next to you.\nAll experience gained is increased by [DECEA3]5%[-]","Рядом с вами хороший учитель.\nВесь получаемый опыт увеличена на [DECEA3]5%[-]","Tienes un buen maestro a tu lado.\nToda la experiencia obtenida se aumenta en un [DECEA3]5%[-]"

attperfection,progression,Attribute,,Perfection,Совершенствование,Perfección
attperfectionName,progression,Attribute,,Attribute: Perfection,Атрибут: Совершенствование,Atributo: Perfección
attperfectionDesc,progression,Attribute,,"Advanced character skill development. You are recognized by traders and receive a bonus to buying and selling","Продвинутое развитие навыков персонажа. Вас узнают торговцы и вы получаете бонус к покупке и продаже.","Desarrollo avanzado de habilidades del personaje. Los comerciantes te reconocen y recibes una bonificación al comprar y vender."

atttselftraits,progression,Attribute,,Self Traits,Личные качества,Rasgos personales
atttselftraitsDesc,progression,Attribute,,"No skill points are required here. The characters personal traits are formed after reading the book Personal Traits.\nYou can improve positive traits or rid the character of negative traits during the game by fulfilling the traits conditions.","Здесь не требуются очки навыков. Личные качества персонажа формируются после прочтения книги.\nВы можете улучшить положительные или избавить от отрицательных качеств в процессе игры при выполнение условий качества.","Aquí no se requieren puntos de habilidad. Los rasgos personales del personaje se forman automáticamente al principio del juego. Puedes cambiar los rasgos positivos o negativos durante la partida."

attperfectionRank01Desc,progression,Attribute,,Newbie,Новичок,Novato
attperfectionRank01LongDesc,progression,Attribute,,"You are still far from perfect, but everything is in your hands. Purchase costs from merchants have been reduced by [DECEA3]0.5%[-] and sale costs have been increased by [DECEA3]2%.[-] Explore the world and become the king of the wasteland.","Вы еще далеки от совершенства, но все в ваших руках. Цена покупки у торговцев уменьшена на [DECEA3]0.5%[-]. Цена продажи увеличена на [DECEA3]2%[-]. Исследуйте мир и станьте королем пустоши.","Aún estás lejos de la perfección, pero todo está en tus manos. Los costos de compra a los comerciantes se han reducido en un 0.5% y los de venta se han aumentado en un 2%. Explora el mundo y conviértete en el rey del páramo."
attperfectionRank02Desc,progression,Attribute,,Sneaky,Проныра,Astuto
