Key,Source,Context,Changes,English,Russian,Spanish

NerdNotes,items,Books,,Nerd Notes,Записки ботаника,Notas de nerd
NerdNotesDesc,items,Resources,,"This is a unique journal that contains a note on the accelerated creation of any items. Holding this item in your hands while crafting will speed up the creation of any items in any station by 15%","Это уникальный журнал, который содержит заметку об ускоренном создании любых предметов. Удерживая этот предмет в руках при крафте, вы ускорите создание любых предметов на любой станции на 15%","Este es un diario único que contiene una nota sobre la creación acelerada de cualquier artículo. Sostener este artículo en tus manos mientras creas acelerará la creación de cualquier artículo en cualquier estación en un 15%"

buffElectroReloadName,buffs,buff,,Chain lightning Reload,Цепная молния перезарядка,Relámpago en cadena de Destructor
buffElectroReloadTooltip,buffs,buff,,Chain lightning on cooldown,Цепная молния на перезарядке,Relámpago en cadena en enfriamiento
buffElectroReloadDesc,buffs,Buff,,"Active ability [DECEA3]Chain lightning[-] on cooldown\n\nWait until it ends to be able to activate it again","Активная способность [DECEA3]Цепная молния[-] на перезарядке\n\nДождитесь её завершения для возможности повторной активации.","Habilidad activa [DECEA3]Relámpago en cadena[-] en enfriamiento\n\nEspera a que termine para poder activarla de nuevo."

buffElectroActiveName,buffs,buff,,Active,Активен,Activo
buffElectroActiveTooltip,buffs,buff,,Electro active,Электро активен,Electro activo
buffElectroActiveIncDesc,buffs,Buff,,"The Electro in the stun baton is active","Электро активен","El Electro en la varilla aturdidora está activo"
ElectroActive,buffs,buff,,Electro,Электро,Electro

modArmorPerceptionDesc,item_modifiers,mod,,"Additional storage medium (flash drive) to enhance the AI of contact lenses, improving aiming and targeting.\nInstalled in gloves\n\nPerception +1","Дополнительный носитель информации (флешка) для усиления ИИ контактных линз, улучшая прицел и наведение.\n\n«Восприятие» +1\n[DECEA3]Устанавливается в перчатки.[-]","Medio de almacenamiento adicional (unidad flash) para mejorar la IA de los lentes de contacto, mejorando la puntería y el objetivo.\nInstalado en guantes\n\nPercepción +1"
modArmorStrengthDesc,item_modifiers,mod,,"Additional storage medium (flash drive) for AI enhancement, suppresses myostatin to increase strength.\nInstalled in gloves\n\nStrength +1","Дополнительный носитель информации (флешка) для усиления ИИ, подавляет миостатин для увеличения силы.\n\n«Сила» +1\n[DECEA3]Устанавливается в перчатки.[-]","Medio de almacenamiento adicional (unidad flash) para mejorar la IA, suprime la miostatina para aumentar la fuerza.\nInstalado en guantes\n\nFuerza +1"
modArmorFortitudeDesc,item_modifiers,mod,,"Additional storage medium (flash drive) for AI enhancement, enhances the immune system.\nInstalled in gloves\n\nFortitude +1","Дополнительный носитель информации (флешка) для усиления ИИ, усиливает иммунную систему.\n\n«Стойкость» +1\n[DECEA3]Устанавливается в перчатки.[-]","Medio de almacenamiento adicional (unidad flash) para mejorar la IA, mejora el sistema inmunológico.\nInstalado en guantes\n\nFortaleza +1"
