Key,Source,Context,Changes,English,Russian,Spanish

Rest,buffs,Buff,,Rest,Отдых,Descansar
buffSmallHomeName,buffs,buff,,Rest on a sleeping bag,Отдых на спальнике,Descansar en un saco de dormir
buffSmallHomeTooltip,buffs,buff,,You are resting on a sleeping bag,Вы отдыхаете на спальном мешке,Estás descansando sobre un saco de dormir.
buffSmallHomeIncDesc,buffs,Buff,,"Yes, a camp bed is not always comfortable, but it is better than lying on the asphalt.\nYou restore a small amount of Reserve of strength and Stress Resistance.","Да, походная кровать не всегда удобна, но лучше, чем лежать на асфальте.\nВы восстанавливаете малое количество «Запаса сил» и «Стрессоустойчивости».","Sí, una cama de campamento no siempre es cómoda, pero es mejor que estar acostado sobre el asfalto.\nRestauras una pequeña cantidad de Reserva de fuerza y Resistencia al estrés."
buffMediumHomeName,buffs,buff,,Rest on the mattress,Отдых на матрасе,Descansa en el colchón
buffMediumHomeTooltip,buffs,buff,,You are resting on a comfortable mattress,Вы отдыхаете на удобном матрасе,Estás descansando en un colchón cómodo.
buffMediumHomeIncDesc,buffs,Buff,,"On a comfortable mattress, sleep is much deeper. The main thing is not to oversleep the horde.\nYou restore an average amount of Reserve of strength and Stress Resistance.","На удобном матрасе сон намного глубже. Главное не проспать орду.\nВы восстанавливаете среднее количество «Запаса сил» и «Стрессоустойчивости».","En un colchón cómodo, el sueño es mucho más profundo. Lo principal es no dormir demasiado. Recuperas una cantidad media de reserva de fuerza y resistencia al estrés."
buffBigHomeName,buffs,buff,,Relax on a comfortable bed,Отдых на удобной кровати,Relájese en una cama cómoda
buffBigHomeTooltip,buffs,buff,,You are relaxing on a comfortable bed,Вы отдыхаете на удобной кровати,Estás relajándote en una cama cómoda.
buffBigHomeIncDesc,buffs,Buff,,"A good night's sleep on a comfortable bed can solve almost all problems. At least it can make you forget about them for a while.\nYou restore a large amount of Reserve of strength and Stress Resistance.","Хороший сон на удобной кровати способен решить почти все проблемы. По крайней мере забыть про них на время.\nВы восстанавливаете большое количество «Запаса сил» и «Стрессоустойчивости».","Una buena noche de sueño en una cama cómoda puede solucionar casi todos los problemas. Al menos te permite olvidarlos por un rato. Recuperas mucha energía y resistencia al estrés."

buffNewbieCoatDesc,buffs,Buff,,"There is no XP penalty on death. Also, the consumption rate of Strength and Stress Resistance has been reduced by [DECEA3]2 times[-] and the recovery rate of Strength and Stress Resistance has been increased.\n\nThis protection will decrease and disappear at level [DECEA3]10[-] so think ahead.","При смерти нет штрафа на опыт. Также в [DECEA3]2 раза[-] снижены скорость расхода и увеличена скорость восстановления «Запаса сил» и «Стрессоустойчивости».\n\nЗащита будет постепенно убывать и исчезнет на уровне [DECEA3]10[-], так что готовьтесь заранее.","No hay penalización de XP por muerte. Además, la tasa de consumo de Fuerza y Resistencia al Estrés se ha reducido en [DECEA3]2 veces[-] y la tasa de recuperación de Fuerza y Resistencia al Estrés se ha incrementado.\n\nEsta protección disminuirá y desaparecerá en el nivel [DECEA3]10[-], así que planifica con antelación."
buffNewbieCoatName,buffs,Buff,,Death XP Penalty Protection,Защита от штрафа на опыт при смерти,Protección contra Penalización de XP por Muerte

buffFatigueWeakName,buffs,buff,,Slightly Fatigued,Легкая усталость,Ligeramente Fatigado
buffFatigueWeakTooltip,buffs,buff,,You are feeling slightly fatigued,Вы испытываете легкую усталость,Te sientes ligeramente fatigado
buffFatigueWeakIncDesc,buffs,Buff,,"Your recent activities have affected your Reserve of strength. You are feeling slightly fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]5%[-]. Your carrying capacity has also been reduced by [DECEA3]3[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Reserve of strength regeneration.","Ваши недавние действия повлияли на ваш «Запас сил». Вы испытываете легкую усталость.\nСнижена на [DECEA3]5%[-] ваша скорость восстановления выносливости и мобильность. Также грузоподъёмность снижена на [DECEA3]3[-].\n\nОставайтесь на месте и немного отдохните. Отдых на спальном мешке или кровати, а также эффекты восстановления еды и воды, значительно увеличивают скорость восстановления сил.","Tus actividades recientes han afectado tu Reserva de fuerza. Te sientes ligeramente fatigado.\nTu regeneración de resistencia y movilidad se han reducido en un [DECEA3]5%[-]. Tu capacidad de carga también se ha reducido en [DECEA3]3[-].\n\nQuédate quieto y descansa un poco. Descansar en un saco de dormir o cama, así como los efectos de regeneración de comida y agua, aumentan significativamente la regeneración de tu Reserva de fuerza."

buffFatigueModerateName,buffs,buff,,Moderate Fatigued,Умеренная усталость,Fatiga Moderada
buffFatigueModerateTooltip,buffs,buff,,You are feeling moderately fatigued,Вы испытываете умеренную усталость,Te sientes moderadamente fatigado
buffFatigueModerateIncDesc,buffs,Buff,,"Your Reserve of strength has been significantly reduced. You are feeling moderately fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]10%[-]. Your carrying capacity has also been reduced by [DECEA3]6[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Reserve of strength regeneration.","Ваш «Запас сил» значительно снижен. Вы испытываете умеренную усталость.\nСнижена на [DECEA3]10%[-] ваша скорость восстановления выносливости и мобильность. Также грузоподъёмность снижена на [DECEA3]6[-].\n\nОставайтесь на месте и немного отдохните. Отдых на спальном мешке или кровати, а также эффекты восстановления еды и воды, значительно увеличивают скорость восстановления сил.","Tu Reserva de fuerza se ha reducido significativamente. Te sientes moderadamente fatigado.\nTu regeneración de resistencia y movilidad se han reducido en un [DECEA3]10%[-]. Tu capacidad de carga también se ha reducido en [DECEA3]6[-].\n\nQuédate quieto y descansa un poco. Descansar en un saco de dormir o cama, así como los efectos de regeneración de comida y agua, aumentan significativamente la regeneración de tu Reserva de fuerza."

buffFatigueSevereName,buffs,buff,,Severe Fatigued,Сильная усталость,Fatiga Severa
buffFatigueSevereTooltip,buffs,buff,,You are feeling severely fatigued,Вы испытываете сильную усталость,Te sientes severamente fatigado
buffFatigueSevereIncDesc,buffs,Buff,,"There is almost no Reserve of strength left, and you are literally falling off your feet. You are feeling severely fatigued.\nYour stamina regeneration and mobility have been reduced by [DECEA3]20%[-]. Your carrying capacity has also been reduced by [DECEA3]9[-].\n\nStay put and get some rest. Resting on a sleeping bag or bed, as well as food and water regeneration effects, significantly increases your Reserve of strength regeneration.\n\nBe careful, if your Reserve of strength drops below [DECEA3]5%[-] your jumps or starting to run will knock you down.","«Запаса сил» почти не осталось, и вы буквально валитесь с ног. Вы испытываете сильную усталость.\nСнижена на [DECEA3]20%[-] ваша скорость восстановления выносливости и мобильность. Также грузоподъёмность снижена на [DECEA3]9[-].\n\nОставайтесь на месте и немного отдохните. Отдых на спальном мешке или кровати, а также эффекты восстановления еды и воды, значительно увеличивают скорость восстановления сил.\n\nБудьте осторожны, если «Запас сил» упадёт ниже [DECEA3]5%[-], ваши прыжки или если вы начнёте бежать, это будет сбивать вас с ног.","Casi no queda Reserva de fuerza, y literalmente te estás cayendo de cansancio. Te sientes severamente fatigado.\nTu regeneración de resistencia y movilidad se han reducido en un [DECEA3]20%[-]. Tu capacidad de carga también se ha reducido en [DECEA3]9[-].\n\nQuédate quieto y descansa un poco. Descansar en un saco de dormir o cama, así como los efectos de regeneración de comida y agua, aumentan significativamente la regeneración de tu Reserva de fuerza.\n\nTen cuidado, si tu Reserva de fuerza cae por debajo del [DECEA3]5%[-], tus saltos o el inicio de la carrera te derribarán."

buffStressWeakName,buffs,buff,,Slightly Stressed,Легкий стресс,Estrés Ligero
buffStressWeakTooltip,buffs,buff,,You are feeling slightly stressed,Вы испытываете легкий стресс,Te sientes ligeramente estresado
