Key,Source,Context,Changes,English,Russian,Spanish

BuffSlowingDownName,buffs,buff,,Slowing down,Замедление,Ralentización
BuffAccelerationName,buffs,buff,,Acceleration,Ускорение,Aceleración

buffDestroyedStoneKey,buffs,buff,,Garbage,Мусор,Basura
buffDestroyedStoneBaseTooltip,buffs,buff,,You are moving through Dangerous soil,Вы передвигаетесь по опасному грунту,Te mueves por terreno peligroso
buffDestroyedStoneBaseIncDesc,buffs,Buff,,"With so much trash underfoot, you better watch your surroundings.\n\nYour movement speed is reduced by [DECEA3]25%[-], your jump height is reduced by [DECEA3]25%[-], and your stamina consumption while running is increased by [DECEA3]50%[-]\n\nWarning: When running on dangerous surfaces, you have a [DECEA3]25%[-] chance of getting a punctured foot\n\n[DECEA3]You need to equip the [DECEA3]Sole Guard[-] modification to increase your mobility[-]","Когда столько мусора вокруг, лучше внимательно смотреть под ноги.\n\nВаша скорость передвижения снижена на [DECEA3]25%[-]. Высота прыжка на [DECEA3]25%[-], а расход выносливости при беге увеличен на [DECEA3]50%[-]\n\nВнимание: При беге по опасной поверхности вы можете проколоть ногу с вероятностью [DECEA3]25%[-]\n\n[DECEA3]Вам необходимо надеть модификацию [DECEA3]Защита подошвы[-], чтобы повысить вашу мобильность.[-]","Con tanta basura bajo los pies, es mejor que observes tu entorno.\n\nTu velocidad de movimiento se reduce en un [DECEA3]25%[-], tu altura de salto se reduce en un [DECEA3]25%[-], y tu consumo de resistencia al correr aumenta en un [DECEA3]50%[-]\n\nAdvertencia: Al correr sobre superficies peligrosas, tienes un [DECEA3]25%[-] de probabilidad de sufrir una punción en el pie.\n\n[DECEA3]Necesitas equipar la modificación [DECEA3]Protector de Suela[-] para aumentar tu movilidad[-]"
buffDestroyedStoneResistName,buffs,buff,,Dangerous soil [DECEA3]Protection[-],Опасный грунт [DECEA3](ЗАЩИТА)[-],Terreno peligroso [DECEA3]Protección[-].
buffDestroyedStoneResistTooltip,buffs,buff,,You are moving through Dangerous soil (PROTECTION),Вы передвигаетесь по опасному грунту (ЗАЩИТА),Te mueves por terreno peligroso (PROTECCIÓN)
buffDestroyedStoneResistIncDesc,buffs,Buff,,"With so much trash underfoot, it's best to keep your eyes peeled.\n\nEven with protection, your movement speed is reduced by [DECEA3]15%[-]","Когда столько мусора вокруг, лучше внимательно смотреть под ноги.\n\nДаже с защитой ваша скорость передвижения снижена на [DECEA3]15%[-]","Con tanta basura bajo los pies, es mejor que estés atento.\n\nIncluso con protección, tu velocidad de movimiento se reduce en un [DECEA3]15%[-]"

