Key,Source,Context,Changes,English,Russian,Spanish

AmmoDisassemblyDesc,items,item,,"There is no such thing as too much ammo. You can disassemble ammo and get [DECEA3]75%[-] of the resources that were used to create it.\n\nUse this item to get resources.","Лишних патронов не бывает. Вы можете разобрать боеприпасы и получить [DECEA3]75%[-] ресурсов, которые были использованы для их создания.\n\nВоспользуйтесь этим предметом, чтобы получить ресурсы.","Nunca hay demasiada munición. Puedes desarmar munición y obtener el [DECEA3]75%[-] de los recursos utilizados para crearla.\n\nUsa este objeto para obtener recursos."

ammoDisBundle9mmBulletBall,items,item,,9 mm Ammo Disassembly,Боеприпасов 9 мм (разбор),Desmontaje de munición de 9 mm
ammoDisBundle9mmBulletHP,items,item,,HP 9 mm Ammo Disassembly,Усиленные боеприпасы 9 мм (разбор),Desmontaje de munición mejorado de 9 mm
ammoDisBundle9mmBulletAP,items,item,,AP 9 mm Ammo Disassembly,Бронебойные боеприпасы 9 мм (разбор),Desmontaje de munición perforante de 9 mm
ammoDisBundle44MagnumBulletBall,items,item,,.44 Magnum Ammo Disassembly,Боеприпасов .44 Magnum (разбор),Desmontaje de munición de .44 Magnum
ammoDisBundle44MagnumBulletHP,items,item,,HP .44 Magnum Ammo Disassembly,Усиленные боеприпасы .44 Magnum (разбор),Desmontaje de munición mejorado de .44 Magnum
ammoDisBundle44MagnumBulletAP,items,item,,AP .44 Magnum Ammo Disassembly,Бронебойные боеприпасы .44 Magnum (разбор),Desmontaje de munición perforante de .44 Magnum
ammoDisBundle762mmBulletBall,items,item,,7.62 mm Ammo Disassembly,Боеприпасов 7.62 мм (разбор),Desmontaje de munición de 7.62 mm
ammoDisBundle762mmBulletHP,items,item,,HP 7.62 mm Ammo Disassembly,Усиленные боеприпасы 7.62 мм (разбор),Desmontaje de munición mejorado de 7.62 mm
ammoDisBundle762mmBulletAP,items,item,,AP 7.62 mm Ammo Disassembly,Бронебойные боеприпасы 7.62 мм (разбор),Desmontaje de munición perforante de 7.62 mm
ammoDisBundleShotgunShell,items,item,,Shotgun Shell Disassembly,Боеприпасы для дробовика (разбор),Desmontaje de munición de escopeta
ammoDisBundleShotgunSlug,items,item,,Shotgun AP Slug Disassembly,Бронебойные боеприпасы для дробовика (разбор),Desmontaje de munición mejorado de escopeta
ammoDisBundleShotgunBreachingSlug,items,item,,Shotgun HP Slug Disassemblyy,Усиленные боеприпасы для дробовика (разбор),Desmontaje de munición perforante de escopeta
