Key,Source,Context,Changes,English,Russian,Spanish

ImpModsBundle,items,item,,[DECEA3]Improved[-] modification,[DECEA3]Улучшенная[-] модификация,Modificación [DECEA3]Mejorada[-]
ImpModsBundleDesc,items,item,,"Contains a random [DECEA3]Improved[-] modification.","Содержит случайную [DECEA3]Улучшенную[-] модификацию.","Contiene una modificación aleatoria [DECEA3]Mejorada[-]."
ImpModsMeleeBundle,items,item,,[DECEA3]Improved[-] Melee Modifications,[DECEA3]Улучшенные[-] модификации ближнего боя,[DECEA3]Mejoras[-] en las modificaciones cuerpo a cuerpo
ImpModsMeleeBundleDesc,items,item,,"Contains 2 random [DECEA3]Improved[-] melee weapon mods.","Содержит 2 случайных [DECEA3]Улучшенных[-] модификации для оружия ближнего боя.","Contiene 2 modificaciones de armas cuerpo a cuerpo [DECEA3]Mejoradas[-] aleatorias."
ImpModsRangeBundle,items,item,,[DECEA3]Improved[-] Ranged Combat Modifications,[DECEA3]Улучшенные[-] модификации дальнего боя,[DECEA3]Mejoras[-] Modificaciones de combate a distancia
ImpModsRangeBundleDesc,items,item,,"Contains 2 random [DECEA3]Improved[-] range weapon mods.","Содержит 2 случайных [DECEA3]Улучшенных[-] модификации для оружия дальнего боя.","Contiene 2 modificaciones de armas de alcance [DECEA3]Mejorado[-] aleatorio."

UniqueToolsModsBundle,items,item,,[FFB800]Unique[-] modification for the tool,[FFB800]Уникальная[-] модификация для инструмента,Modificación [FFB800]Mejorada[-] para la herramienta.
UniqueToolsModsBundleDesc,items,item,,"Contains a random improved modification for the tool","Содержит случайную [FFB800]Уникальную[-] модификацию для инструмента.","Contiene una modificación mejorada aleatoria para la herramienta."

UniqueModsBundle,items,item,,[FFB800]Unique[-] modification,[FFB800]Уникальная[-] модификация,Modificación [FFB800]Única[-].
UniqueModsBundleDesc,items,item,,"Contains a random unique modification","Содержит случайную [FFB800]Уникальную[-] модификацию.","Contiene una modificación única aleatoria."

UniqueModsMeleeBundle,items,item,,[FFB800]Unique[-] Melee Modification,[FFB800]Уникальная[-] модификация ближнего боя,Modificación de combate cuerpo a cuerpo [FFB800]Única[-].
UniqueModsMeleeBundleDesc,items,item,,"Contains a random [FFB800]Unique[-] melee weapon modification.","Содержит случайную [FFB800]Уникальную[-] модификацию для оружия ближнего боя.","Contiene una modificación de arma cuerpo a cuerpo aleatoria [FFB800]Única[-]."
UniqueModsRangeBundle,items,item,,[FFB800]Unique[-] Range Combat Modification,[FFB800]Уникальная[-] модификация дальнего боя,Modificación de combate cuerpo a cuerpo [FFB800]Única[-].
UniqueModsRangeBundleDesc,items,item,,"Contains a random [FFB800]Unique[-] range combat modification.","Содержит случайную [FFB800]Уникальную[-] модификацию для оружия ближнего боя.","Contiene una modificación de combate a distancia [FFB800]Única[-]."

BetterWeapon_MeleeT1,items,Item,,[DECEA3]Quest[-] [FF6666]«The best weapon»[-] Chapter 1,[DECEA3]Квест[-] [FF6666]«Лучшее оружие»[-] Глава 1,
