Key,Source,Context,Changes,English,Russian,Spanish

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- Z_Armor_Balance -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->

statPlayerExpGainRepairTool,ui_display,Item stat,,"XP Gain, Construction","Получаемый опыт: Строительство","Ganancia de XP, Construcción"
statPlayerExpGainMining,ui_display,Item stat,,"XP Gain: Mining","Получаемый опыт: Добыча руды","Ganancia de XP, Minería"
statPlayerExpGainWinterDesertBiomes,ui_display,Item stat,,"XP Gain: Winter and Desert, Killing","Опыт за убийство: Зима и Пустыня","Ganancia de XP Invierno y Desierto, Matanza"
statStaminaLossAxe,ui_display,Item stat,,Stamina cost. Axe,Расход стамины: Топор,"Costo de resistencia. Hacha"
statStaminaLossPickaxe,ui_display,Item stat,,"Stamina cost, Pickaxe","Расход стамины: Кирка","Costo de resistencia, Pico"
statLootTime,ui_display,Item stat,,"Loot time","Время поиска лута","Tiempo de botín"
statAttacksPerMinuteStunBaton,ui_display,Item stat,,"Attack speed: Stun Baton","Скорость атаки: Оглушающий жезл","Velocidad de ataque, Bastón aturdidor"

statAttacksPerMinuteMelee,ui_display,Item stat,,"Attack speed: Melee","Скорость атаки: Ближний бой","Velocidad de ataque, Cuerpo a cuerpo"

statDegradationPerUse,ui_display,Item stat,,"Degradation per use. Mining tools","Расход прочности: Инструменты добычи","Degradación por uso. Herramientas de minería"
statStaminaLossMelee,ui_display,Item stat,,"Stamina cost: Melee","Расход стамины: Ближний бой","Costo de resistencia, Cuerpo a cuerpo"
statHealingSpeed,ui_display,Item stat,,Health regeneration rate,Скорость регенерации здоровья,Tasa de regeneración de salud
statBlockDamageAxe,ui_display,Item st at,,"Block damage: Axe","Урон по блоку: Топор","Daño de bloque, Hacha"
statMoneyLootQuantity,ui_display,Item stat,,More banknotes and dukes,Больше банкнот и дюков,Más billetes y ducados
statReloadSpeedArchery,ui_display,Item stat,,"Reload speed: Archery","Скорость перезарядки: Лук и Арбалет","Velocidad de recarga, Arquería"
statCrouchSpeed,ui_display,Item stat,,Speed in stealth,Скорость в стелсе,Velocidad en sigilo
statFoodAndWaterLost,ui_display,Item stat,,Food and water consumption. Run,Расход еды и воды. Бег,"Consumo de comida y agua. Correr"
statReloadSpeed,ui_display,Item stat,,Reload speed,Скорость перезарядки,Velocidad de recarga
statMaxStaminaBonus,ui_display,Item stat,,Stamina Bonus,Бонус к макс. выносливости,Bonificación de resistencia
statStaminaRegenRunning,ui_display,Item stat,,Stamina regen. Run,Восстановление выносливости. Бег,"Regeneración de resistencia. Correr"
statBarteringSelling,ui_display,Item stat,,Bartering (Selling),Обмен (Продажа),Trueque (Venta)
statReloadSpeedGunslinger,ui_display,Item stat,,"Reload speed: Gunslinger","Скорость перезарядки: Пистолет и ПП","Velocidad de recarga, Pistolero"
statFoodHealthAmount,ui_display,Item stat,,Health bonus from food,Бонус к здоровью от еды,Bonificación de salud por comida
statAttacksPerMinuteKnives,ui_display,Item stat,,"Attack speed: Knives","Скорость атаки: Ножи и Мачете","Velocidad de ataque, Cuchillos"
statAttacksPerMinuteClubs,ui_display,Item stat,,"Attack speed: Clubs and Hammers","Скорость атаки: Дубин и Кувалд","Velocidad de ataque, Garrotes y Martillos"
statAttacksPerMinuteSalvaging,ui_display,Item stat,,"Attack speed: Salvaging","Скорость атаки: Разбор","Velocidad de ataque, Desguace"

statReloadSpeedMultiplier,ui_display,Item stat,,"Reload speed: All weapon","Скорость перезарядки: Все оружия","Velocidad de recarga, Todas las armas"
statReloadSpeedAutomaticWeapon,ui_display,Item stat,,"Reload speed: Machine Gunner","Скорость перезарядки: Автомат","Velocidad de recarga, Ametrallador"
statReloadSpeedSniper,ui_display,Item stat,,"Reload speed: Sniper Rifles","Скорость перезарядки: Снайперские винтовки","Velocidad de recarga, Rifles de francotirador"
statRoundsPerMinute,ui_display,Item stat,,"Round per minute","Скорострельность","Rondas por minuto"
statReloadSpeedShotgun,ui_display,Item stat,,"Reload speed: Shotguns","Скорость перезарядки: Дробовик","Velocidad de recarga, Escopetas"
statRoundsPerMinuteShotgun,ui_display,Item stat,,"Round per minute: Shotguns","Скорострельность: Дробовик","Rondas por minuto, Escopetas"

buffLumberjackSetBonus,buffs,Buff,,Lumberjack,Дровосек,Leñador
buffPreacherSetBonus,buffs,Buff,,Preacher,Священник,Predicador
buffRogueSetBonus,buffs,Buff,,Rogue,Разбойник,Pícaro
buffAthleticSetBonus,buffs,Buff,,Athletic,Спортсмен,Atlético
buffEnforcerSetBonus,buffs,Buff,,Enforcer,Законник,Ejecutor
buffFarmerSetBonus,buffs,Buff,,Farmer,Фермер,Granjero
buffBikerSetBonus,buffs,Buff,,Biker,Байкер,Motociclista
buffScavengerSetBonus,buffs,Buff,,Scavenger,Мусорщик,Carroñero
buffRangerSetBonus,buffs,Buff,,Ranger,Егерь,Guardabosques
buffCommandoSetBonus,buffs,Buff,,Commando,Спецназ,Comando
buffAssassinSetBonus,buffs,Buff,,Assassin,Убийца,Asesino
buffMinerSetBonus,buffs,Buff,,Miner,Шахтер,Minero
buffNomadSetBonus,buffs,Buff,,Nomad,Бродяга,Nómada
buffNerdSetBonus,buffs,Buff,,Nerd,Ботан,Empollón
buffRaiderSetBonus,buffs,Buff,,Raider,Налетчик,Asaltante

buffSetBonusName,buffs,Buff,,Full Set Bonus,Бонус за полный комплект,Bonificación de conjunto completo
buffSemiSetBonusName,buffs,Buff,,Semi Set Bonus,Бонус за полукомплект,Bonificación de medio conjunto

buffLightArmorSetBonusName,buffs,buff,,Light Armor bonus,Бонус легкой брони,Bonificación de armadura ligera
buffLightArmorSetBonusTooltip,buffs,buff,,Light armor bonus is active,Бонус от легкой брони активен,Bonificación de armadura ligera activa
buffLightArmorSetBonusDesc,buffs,Buff,,"Light armor does not restrict movement and weighs almost nothing.\n\nMovement speed increased by [DECEA3]10%[-].\nOverall heat resistance increased by [DECEA3]10%[-], and cold resistance decreased by [DECEA3]5%[-].","Легкая броня не стесняет при движении и почти ничего не весит.\n\nСкорость передвижения увеличена на [DECEA3]10%[-].\nОбщее сопротивление жаре увеличено на [DECEA3]10%[-], а холоду снижено на [DECEA3]5%[-].","La armadura ligera no restringe el movimiento y casi no pesa.\n\nLa velocidad de movimiento aumentó en un [DECEA3]10%[-].\nLa resistencia general al calor aumentó en un [DECEA3]10%[-] y la resistencia al frío disminuyó en un [DECEA3]5%[-]."

buffMediumArmorSetBonusName,buffs,buff,,Medium Armor bonus,Бонус средней брони,Bonificación de armadura media
buffMediumArmorSetBonusTooltip,buffs,buff,,Medium armor bonus is active,Бонус от средней брони активен,Bonificación de armadura media activa
buffMediumArmorSetBonusDesc,buffs,Buff,,"Medium armor is ideal for actively shooting infected people.\n\nRanged weapon damage increased by [DECEA3]10%[-].\nOverall temperature resistance increased by [DECEA3]5%[-].","Средняя броня идеально подходит для активного отстрела зараженных.\n\nУрон от оружия дальнего боя увеличен на [DECEA3]10%[-].\nОбщее сопротивление температурам увеличено на [DECEA3]5%[-].","La armadura media es ideal para disparar activamente a los infectados.\n\nEl daño del arma a distancia aumentó en un [DECEA3]10%[-].\nLa resistencia general a la temperatura aumentó en un [DECEA3]5%[-]."

buffHeavyArmorSetBonusName,buffs,buff,,Heavy Armor bonus,Бонус тяжелой брони,Bonificación de armadura pesada
buffHeavyArmorSetBonusTooltip,buffs,buff,,Heavy armor bonus is active,Бонус от тяжелой брони активен,Bonificación de armadura pesada activa
