Key,Source,Context,Changes,English,Russian,Spanish

perkSiphoningStrikesRank1LongDesc,progression,perk For,,"Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 4 HP.","Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 4 ОЖ.","El olor de la primera sangre en la batalla te vigoriza.\nLas muertes cuerpo a cuerpo tienen una probabilidad de [DECEA3]{cvar(.HealthStealChance:0)}%[-] de otorgar 4 HP."
perkSiphoningStrikesRank2LongDesc,progression,perk For,,"Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 8 HP.","Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 8 ОЖ.","El olor de la primera sangre en la batalla te vigoriza.\nLas muertes cuerpo a cuerpo tienen una probabilidad de [DECEA3]{cvar(.HealthStealChance:0)}%[-] de otorgar 8 HP."
perkSiphoningStrikesRank3LongDesc,progression,perk For,,"Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 12 HP.","Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 12 ОЖ.","El olor de la primera sangre en la batalla te vigoriza.\nLas muertes cuerpo a cuerpo tienen una probabilidad de [DECEA3]{cvar(.HealthStealChance:0)}%[-] de otorgar 12 HP."
perkSiphoningStrikesRank4LongDesc,progression,perk For,,"Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 16 HP.","Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 16 ОЖ.","El olor de la primera sangre en la batalla te vigoriza.\nLas muertes cuerpo a cuerpo tienen una probabilidad de [DECEA3]{cvar(.HealthStealChance:0)}%[-] de otorgar 16 HP."
perkSiphoningStrikesRank5LongDesc,progression,perk For,,"Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 20 HP.","Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 20 ОЖ.","El olor de la primera sangre en la batalla te vigoriza.\nLas muertes cuerpo a cuerpo tienen una probabilidad de [DECEA3]{cvar(.HealthStealChance:0)}%[-] de otorgar 20 HP."

attpasssiveskills,progression,Attribute,,Passive Skills,Пассивные навыки,Habilidades Pasivas
attpasssiveskillsDesc,progression,Attribute,,"No skill points required here. Complete passive skill requirements to level them up","Здесь не требуются очки навыков. Выполняйте требования пассивных навыков для повышения их уровня.","No se requieren puntos de habilidad aquí. Completa los requisitos de las habilidades pasivas para subirlas de nivel."

0000 ADAPTATION 0000,,,,,0000 ADAPTACIÓN 0000

skillAdaptationName,progression,Skills,,Adaptation,Адаптация,Adaptación

perkGameTimerName,progression,perk,,Total time,Общее время,Tiempo total
perkGameTimerDesc,progression,perk,,"It's not easy to get used to this heat. But it's only a matter of time.\nThe more time you spend in the desert, the easier it is for you to survive there.\n\n[DECEA3]Now: {cvar(TimerGame_HH:0)}h {cvar(TimerGame_MM:0)}m[-]","С каждым прожитым днем в биомах и с каждой проведенной ночью под звездным небом твоя душа закаляется, а инстинкты оттачиваются, и некогда враждебный мир постепенно становится твоей средой обитания.\n\n[DECEA3]Сейчас: {cvar(TimerGame_HH:0)}ч {cvar(TimerGame_MM:0)}м.[-]","No es fácil acostumbrarse a este calor. Pero es solo cuestión de tiempo.\nCuanto más tiempo pases en el desierto, más fácil te será sobrevivir allí.\n\n[DECEA3]Ahora: {cvar(TimerGame_HH:0)}h {cvar(TimerGame_MM:0)}m[-]"
Game_LevelUP,UI,Tooltip,,Increased passive skill: Total time,Повышен пассивный навык: Общее время,Habilidad pasiva aumentada: Tiempo total
reqPerkGame01,progression,Attribute,,{cvar(TimerGame_HH:0)} of 2,{cvar(TimerGame_HH:0)} из 2,{cvar(TimerGame_HH:0)} de 2
reqPerkGame02,progression,Attribute,,{cvar(TimerGame_HH:0)} of 4,{cvar(TimerGame_HH:0)} из 4,{cvar(TimerGame_HH:0)} de 4
reqPerkGame03,progression,Attribute,,{cvar(TimerGame_HH:0)} of 8,{cvar(TimerGame_HH:0)} из 8,{cvar(TimerGame_HH:0)} de 8
reqPerkGame04,progression,Attribute,,{cvar(TimerGame_HH:0)} of 12,{cvar(TimerGame_HH:0)} из 12,{cvar(TimerGame_HH:0)} de 12
reqPerkGame05,progression,Attribute,,{cvar(TimerGame_HH:0)} of 18,{cvar(TimerGame_HH:0)} из 18,{cvar(TimerGame_HH:0)} de 18
reqPerkGame06,progression,Attribute,,{cvar(TimerGame_HH:0)} of 24,{cvar(TimerGame_HH:0)} из 24,{cvar(TimerGame_HH:0)} de 24
reqPerkGame07,progression,Attribute,,{cvar(TimerGame_HH:0)} of 32,{cvar(TimerGame_HH:0)} из 32,{cvar(TimerGame_HH:0)} de 32
reqPerkGame08,progression,Attribute,,{cvar(TimerGame_HH:0)} of 40,{cvar(TimerGame_HH:0)} из 40,{cvar(TimerGame_HH:0)} de 40
reqPerkGame09,progression,Attribute,,{cvar(TimerGame_HH:0)} of 50,{cvar(TimerGame_HH:0)} из 50,{cvar(TimerGame_HH:0)} de 50
reqPerkGame10,progression,Attribute,,{cvar(TimerGame_HH:0)} of 60,{cvar(TimerGame_HH:0)} из 60,{cvar(TimerGame_HH:0)} de 60
perkGameTimerRank1Desc,progression,Skills,,Survive in the game for 2 hours,Выжить в игре 2 часа,Sobrevive en el juego durante 2 horas
perkGameTimerRank1LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]1%[-], Loot bonus increased by [DECEA3]1%[-], Mobility increased by [DECEA3]1.5%[-]","[DECEA3]БОНУСЫ ПРИ НАХОЖДЕНИИ В ИГРЕ:[-]\nПолучаемый опыт в игре увеличен на [DECEA3]1%[-]. Бонус к луту увеличен на [DECEA3]1%[-]. Мобильность увеличена на [DECEA3]1.5%[-]","[DECEA3]BONIFICACIONES MIENTRAS ESTÁS EN EL JUEGO:[-]\nExperiencia obtenida en el juego aumentada en un [DECEA3]1%[-], bonificación de botín aumentada en un [DECEA3]1%[-], movilidad aumentada en un [DECEA3]1.5%[-]"
perkGameTimerRank2Desc,progression,Skills,,Survive in the game for 4 hours,Выжить в игре 4 часа,Sobrevive en el juego durante 4 horas
perkGameTimerRank2LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]2%[-], Loot bonus increased by [DECEA3]2%[-], Mobility increased by [DECEA3]3%[-]","[DECEA3]БОНУСЫ ПРИ НАХОЖДЕНИИ В ИГРЕ:[-]\nПолучаемый опыт в игре увеличен на [DECEA3]2%[-]. Бонус к луту увеличен на [DECEA3]2%[-]. Мобильность увеличена на [DECEA3]3%[-]","[DECEA3]BONIFICACIONES MIENTRAS ESTÁS EN EL JUEGO:[-]\nExperiencia obtenida en el juego aumentada en un [DECEA3]2%[-], bonificación de botín aumentada en un [DECEA3]2%[-], movilidad aumentada en un [DECEA3]3%[-]"
perkGameTimerRank3Desc,progression,Skills,,Survive in the game for 8 hours,Выжить в игре 8 часов,Sobrevive en el juego durante 8 horas
