Key,Source,Context,Changes,English,Russian,Spanish

lblCategoryNotes,UI,Tooltip,,Notes Quests,Квесты по заметкам,Misiones de Notas
lblCategoryRequest,UI,Tooltip,,Support Request,Запрос поддержки,Solicitud de Apoyo
lblCategoryRequestAmmo,UI,Tooltip,,Request for ammunition,Запрос боеприпасов,Solicitud de Munición
lblCategoryRareMedicine,UI,Tooltip,,Rare medicines,Редкие медикаменты,Medicinas Raras
lblCategoryCallBoss,UI,Tooltip,,Boss Hunt,Охота на боссов,Caza de Jefes
lblCategoryExpedition,UI,Tooltip,,Expedition,Экспедиция,Expedición

Objective_Exp_Reconnaissance_key,Quest,Quest Info,,Reconnaissance,Разведка окрестностей,Reconocimiento
Objective_Exp_Activity_key,Quest,Quest Info,,Increased Activity,Повышенная активность,Aumento de la actividad
Objective_Exp_Infection_key,Quest,Quest Info,,Infection foci,Очаги заражения,Focos de infección
Objective_Exp_Deadzone_key,Quest,Quest Info,,Dead zone,Мёртвая зона,Zona muerta

exp_gather_statement,Quest,Quest Info,,Expedition equipment,Снаряжение экспедиции,Caza de Jefes
exp_gather_subtitle,Quest,Quest Info,,Preparing the expedition,Подготовка экспедиции,Preparando la expedición
exp_process_statement,Quest,Quest Info,,Wait until the expedition is completed,Дождитесь завершения экспедиции,Espere hasta que finalice la expedición
exp_process_subtitle,Quest,Quest Info,,Wait until the expedition is completed,Дождитесь завершения экспедиции,Espere hasta que finalice la expedición
exp_complite_statement,Quest,Quest Info,,Expedition was completed successfully,Экспедиция завершена успешно,La expedición se completó con éxito
exp_complite_subtitle,Quest,Quest Info,,Expedition was completed successfully,Экспедиция завершена успешно,La expedición se completó con éxito
exp_fail_statement,Quest,Quest Info,,Expedition failed,Экспедиция провалена,La expedición fracasó
exp_fail_subtitle,Quest,Quest Info,,Expedition failed,Экспедиция провалена,La expedición fracasó

prepar_exp_complite,Quest,Quest Info,,"Excellent! I'll hand this gear over to the Scav. I think that's enough to begin the mission.","Отлично! Я передам это снаряжение Дикому. Думаю, этого достаточно, чтобы начать миссию.","¡Excelente! Le entregaré este equipo al Scav. Creo que con esto basta para comenzar la misión."
exp_complite,Quest,Quest Info,,"The expedition was successfully completed. Here's everything we found.","Экспедиции успешно закончена. Вот всё, что удалось найти.","La expedición se completó con éxito. Esto es todo lo que encontramos."
exp_fail,Quest,Quest Info,,"Unfortunately, the news isn't good. The expedition encountered a horde too large. They barely escaped, but they also failed to secure any loot. Let's hope for better luck next time.","К сожалению, новости не утешительные. Экспедиция встретила слишком большую орду. Они едва смогли унести ноги, но и не удалось забрать добычу. Надеюсь, в следующий раз повезёт больше.","Lamentablemente, las noticias no son buenas. La expedición se topó con una horda demasiado grande. Apenas lograron escapar, pero tampoco consiguieron ningún botín. Esperemos tener mejor suerte la próxima vez."

exp_ArmorBundle_Desc,items,item,,"The armor set is used to equip the expedition.","Набор брони используется для снаряжение экспедиции.","El conjunto de armadura se utiliza para equipar la expedición."
exp_ArmorBundlePreacher,items,item,,Preacher Armor Set,Набор брони Священика,Conjunto de armadura de predicador
exp_ArmorBundleAthletic,items,item,,Athletic Armor Set,Набор брони Спортсмена,Conjunto de armadura atlética
exp_ArmorBundleEnforcer,items,item,,Enforcer Armor Set,Набор брони Блюститель закона,Conjunto de armadura de ejecutor
exp_ArmorBundleBiker,items,item,,Biker Armor Set,Набор брони Байкер,Conjunto de armadura para motociclista
exp_ArmorBundleRanger,items,item,,Ranger Armor Set,Набор брони Егерь,Conjunto de armadura Ranger
