Key,Source,Context,Changes,English,Russian,Spanish

buffRareRobinhoodName,buffs,buff,,Robinhood,Робингуд,Robinhood
buffRareRobinhood1Desc,buffs,Buff,,"You benefit from an active bonus from a rare weapon. Reload speed is increased by 50% and damage by 25%.","На вас действует активный бонус от редкого оружия. Скорость перезарядки увеличена на 50% а урон на 25%.","Disfrutas de una bonificación activa de un arma rara. La velocidad de recarga aumenta un 50% y el daño un 25%."
buffRareRobinhood2Desc,buffs,Buff,,"You benefit from an active bonus from a rare weapon. Reload speed is increased by 100% and damage by 50%.","На вас действует активный бонус от редкого оружия. Скорость перезарядки увеличена на 100% а урон на 50%.","Disfrutas de una bonificación activa de un arma rara. La velocidad de recarga aumenta un 100% y el daño un 50%."
buffRareRobinhood3Desc,buffs,Buff,,"You benefit from an active bonus from a rare weapon. Reload speed is increased by 200% and damage by 100%.","На вас действует активный бонус от редкого оружия. Скорость перезарядки увеличена на 200% а урон на 100%.","Disfrutas de una bonificación activa de un arma rara. La velocidad de recarga aumenta un 200% y el daño un 100%."

rareSniperRifleBundle,items,item,,[FAFF63]Rare[-] Sniper Rifle,[FAFF63]Редкая[-] Снайперская винтовка,[FAFF63]Raro[-] Rifle de francotirador
rareSniperRifleBundleDesc,items,item,,"Contains a random [FAFF63]rare[-] Sniper Rifle (tier 6) with a random property.","Содержит случайную [FAFF63]редкую[-] Снайперскую винтовку (тир 6) со случайным свойством.","Contiene un rifle francotirador [FAFF63]raro[-] Rifle de francotirador (nivel 6) con una propiedad aleatoria."
rareAutoShotgunBundle,items,item,,[FAFF63]Rare[-] Auto Shotgun,[FAFF63]Редкий[-] Автоматический дробовик,[FAFF63]Raro[-] Escopeta automática
rareAutoShotgunBundleDesc,items,item,,"Contains a random [FAFF63]rare[-] Auto Shotgun (tier 6) with a random property.","Содержит случайный [FAFF63]редкий[-] Автоматический дробовик (тир 6) со случайным свойством.","Contiene una escopeta automática de nivel 6 [FAFF63]rara[-] aleatoria con una propiedad aleatoria."
rareM60Bundle,items,item,,[FAFF63]Rare[-] M60 Machine Gun,[FAFF63]Редкий[-] Пулемет М60,[FAFF63]Raro[-] Metralleta M60
rareM60BundleDesc,items,item,,"Contains a random [FAFF63]rare[-] M60 Machine Gun (Tier 6) with a random property.","Содержит случайный [FAFF63]редкий[-] Пулемет М60 (тир 6) со случайным свойством.","Contiene una ametralladora M60 aleatoria [FAFF63]rara[-] (nivel 6) con una propiedad aleatoria."
rareSMG5Bundle,items,item,,[FAFF63]Rare[-] SMG-5,[FAFF63]Редкий[-] ПП-5,[FAFF63]Raro[-] SMG-5
rareSMG5BundleDesc,items,item,,"Contains a random [FAFF63]rare[-] SMG-5 (Tier 6) with a random property.","Содержит случайный [FAFF63]редкий[-] ПП-5 (тир 6) со случайным свойством.","Contiene un SMG-5 [FAFF63]raro[-] aleatorio (nivel 6) con una propiedad aleatoria."
rareDesertVultureBundle,items,item,,[FAFF63]Rare[-] .44 Desert Vulture,[FAFF63]Редкий[-] Пустынный стервятник .44,[FAFF63]Raro[-] Desert Vulture de calibre 44
rareDesertVultureBundleDesc,items,item,,"Contains a random [FAFF63]rare[-] .44 Desert Vulture (Tier 6) with a random property.","Содержит случайный [FAFF63]редкий[-] Пустынный стервятник .44 (тир 6) со случайным свойством.","Contiene un Desert Vulture de calibre 44 [FAFF63]raro[-] aleatorio (nivel 6) con una propiedad aleatoria."
rareArcheryBundle,items,item,,[FAFF63]Rare[-] Bow or crossbow,[FAFF63]Редкий[-] Лук или арбалет,[FAFF63]Raro[-] Arco o ballesta
rareArcheryBundleDesc,items,item,,"Contains a random [FAFF63]rare[-] Bow or crossbow (Tier 6) with a random property.","Содержит случайный [FAFF63]редкий[-] Лук или арбалет (тир 6) со случайным свойством.","Contiene un Arco o ballesta [FAFF63]raro[-] aleatorio (nivel 6) con una propiedad aleatoria."

rareSpearT3Bundle,items,item,,[FAFF63]Rare[-] Steel Spear,[FAFF63]Редкая[-] Стальное копьё,[FAFF63]Raro[-] Lanza de acero
rareSpearT3BundleDesc,items,item,,"Contains a random [FAFF63]rare[-] Steel Spear (tier 6) with a random property.","Содержит случайное [FAFF63]редкое[-] Стальное копьё (тир 6) со случайным свойством.","Contiene un rifle francotirador [FAFF63]raro[-] Lanza de acero (nivel 6) con una propiedad aleatoria."
rareClubT3Bundle,items,item,,[FAFF63]Rare[-] Steel Club,[FAFF63]Редкая[-] Стальная дубина,[FAFF63]Raro[-] Club de acero
rareClubT3BundleDesc,items,item,,"Contains a random [FAFF63]rare[-] Steel Club (tier 6) with a random property.","Содержит случайную [FAFF63]редкую[-] Стальную дубину (тир 6) со случайным свойством.","Contiene un rifle francotirador [FAFF63]raro[-] Club de acero (nivel 6) con una propiedad aleatoria."
rareSledgehammerT3Bundle,items,item,,[FAFF63]Rare[-] Steel Sledgehammer,[FAFF63]Редкий[-] Стальной молот,[FAFF63]Raro[-] Mazo de acero
rareSledgehammerT3BundleDesc,items,item,,"Contains a random [FAFF63]rare[-] Steel Sledgehammer (tier 6) with a random property.","Содержит случайный [FAFF63]редкий[-] Стальной молот (тир 6) со случайным свойством.","Contiene un rifle francotirador [FAFF63]raro[-] Mazo de acero (nivel 6) con una propiedad aleatoria."
rareKnucklesT3Bundle,items,item,,[FAFF63]Rare[-] Steel Knuckles,[FAFF63]Редкие[-] Стальные кастеты,[FAFF63]Raro[-] Nudillos de acero
