Key,Source,Context,Changes,English,Russian,Spanish

ObjectiveJanitor_key,Quest,Quest Info,,Janitor,Уборщик,Conserje
ObjectiveBusinessMan_key,Quest,Quest Info,,BusinessMan,Бизнесмен,Hombre de Negocios
ObjectiveBiker_key,Quest,Quest Info,,Biker,Байкер,Motociclista
ObjectiveMoe_key,Quest,Quest Info,,Moe,Распухший ходок,Moe
ObjectiveFatHawaiian_key,Quest,Quest Info,,Tourist,Турист,Turista
ObjectiveSoldier_key,Quest,Quest Info,,Soldier,Солдат,Soldado
ObjectiveCop_key,Quest,Quest Info,,Cop,Полицейский,Policía
ObjectiveDemolition_key,Quest,Quest Info,,Demolition,Демолишер,Demolición
ObjectiveNurses_key,Quest,Quest Info,,Nurse,Санитарка,Enfermera
ObjectiveHazmat_key,Quest,Quest Info,,Hazmat,Ликвидатор,Hazmat
ObjectiveMutated_key,Quest,Quest Info,,Mutated,Мутант,Mutado
ObjectiveLumberjack_key,Quest,Quest Info,,Lumberjack,Лесоруб,Leñador
ObjectiveBurntZombie_key,Quest,Quest Info,,Burnt zombie,Сгоревший зомби,Zombi quemado
ObjectiveSmallAnimal_key,Quest,Quest Info,,Small Animals,Маленькие животные,Animales pequeños
ObjectiveMediumAnimal_key,Quest,Quest Info,,Medium Animals,Средние животные,Animales medianos
ObjectiveBigAnimal_key,Quest,Quest Info,,Big Animals,Большие животные,Animales grandes
ObjectiveZombieBear_key,Quest,Quest Info,,Zombie Bear,Медведь зомби,Oso Zombi
ObjectiveMountainLion_key,Quest,Quest Info,,Mountain Lion,Пума,Puma
ObjectiveDireWolf_key,Quest,Quest Info,,Dire Wolf,Ужасный волк,Lobo Temible
ObjectiveSnake_key,Quest,Quest Info,,Snake,Змей,Serpiente
ObjectiveChicken_key,Quest,Quest Info,,Chicken,Курица,Gallina
ObjectiveVulture_key,Quest,Quest Info,,Vulture,Стервятник,Buitre
ObjectiveBear_key,Quest,Quest Info,,Bear,Медведь,Oso
ObjectiveDogs_key,Quest,Quest Info,,"Zombie Dogs, Wolves or Coyotes","Зомби собак, Волк или Койот", "Perros Zombis, Lobos o Coyotes"
ObjectiveFeral_key,Quest,Quest Info,,Feral,Дикий зомби,Salvaje
ObjectiveRadiated_key,Quest,Quest Info,,Radiated,Радиоактивный зомби,Radiado
ObjectiveElite_key,Quest,Quest Info,,Elite,Элитный,Élite
ObjectiveMiniboss_key,Quest,Quest Info,,Miniboss,Мини босс,Minijefe
ObjectiveBoss_key,Quest,Quest Info,,Boss,Босс,Jefe
ObjectiveAnyZombie_key,Quest,Quest Info,,Any Zombie,Любые зомби,Cualquier Zombi

ObjectiveMarlene_key,Quest,Quest Info,,Marlene,Марлин,Marlene
ObjectiveDarlene_key,Quest,Quest Info,,Darlene,Дарлин,Darlene
ObjectiveJoe_key,Quest,Quest Info,,Joe,Джо,Joe
ObjectiveSteve_key,Quest,Quest Info,,Steve,Стив,Steve
ObjectiveYo_key,Quest,Quest Info,,Yo,Йо,Yo
ObjectivePartyGirl_key,Quest,Quest Info,,Party Girl,Стриптизерша,Chica de Fiesta

TrinketStupitBet,items,Resources,,Trinket [FF8000]Stupit Bet[-],Безделушка: [FF8000]Глупый спор[-],Amuleto [FF8000]Apuesta Estúpida[-]
TrinketStupitBetDesc,items,Resources,,"The trinket itself is absolutely useless. However, having collected enough, you will be able to prove to the merchants that you are ready to emerge victorious in any, even the most stupit, dispute.","Сама по себе безделушка абсолютно бесполезна. Однако, собрав достаточное количество, вы сможете доказать торговцам, что вы готовы выходить победителем в любом, даже самом глупом споре.","El amuleto en sí es absolutamente inútil. Sin embargo, habiendo recogido suficientes, podrás demostrar a los comerciantes que estás listo para salir victorioso en cualquier disputa, incluso la más estúpida."
Bonus_StupitBet,items,Resources,,[FF8000]A born debater[-],[FF8000]Прирожденный спорщик[-],[FF8000]Un orador nato[-]
