Key,Source,Context,Changes,English,Russian,Spanish

statPlayerExpGainRepairTool,ui_display,Item stat,,"XP Gain, Construction","Получаемый опыт: Строительство","Ganancia de XP, Construcción"
statPlayerExpGainMining,ui_display,Item stat,,"XP Gain: Mining","Получаемый опыт: Добыча руды","Ganancia de XP, Minería"
statPlayerExpGainWinterDesertBiomes,ui_display,Item stat,,"XP Gain: Winter and Desert, Killing","Опыт за убийство: Зима и Пустыня","Ganancia de XP Invierno y Desierto, Matanza"
statStaminaLossAxe,ui_display,Item stat,,Stamina cost. Axe,Расход стамины: Топор,"Costo de resistencia. Hacha"
statStaminaLossPickaxe,ui_display,Item stat,,"Stamina cost, Pickaxe","Расход стамины: Кирка","Costo de resistencia, Pico"
statLootTime,ui_display,Item stat,,"Loot time","Время поиска лута","Tiempo de botín"
statAttacksPerMinuteStunBaton,ui_display,Item stat,,"Attack speed: Stun Baton","Скорость атаки: Оглушающий жезл","Velocidad de ataque, Bastón aturdidor"

statAttacksPerMinuteMelee,ui_display,Item stat,,"Attack speed: Melee","Скорость атаки: Ближний бой","Velocidad de ataque, Cuerpo a cuerpo"

statDegradationPerUse,ui_display,Item stat,,"Degradation per use. Mining tools","Расход прочности: Инструменты добычи","Degradación por uso. Herramientas de minería"
statStaminaLossMelee,ui_display,Item stat,,"Stamina cost: Melee","Расход стамины: Ближний бой","Costo de resistencia, Cuerpo a cuerpo"
statHealingSpeed,ui_display,Item stat,,Health regeneration rate,Скорость регенерации здоровья,Tasa de regeneración de salud
statBlockDamageAxe,ui_display,Item st at,,"Block damage: Axe","Урон по блоку: Топор","Daño de bloque, Hacha"
statMoneyLootQuantity,ui_display,Item stat,,More banknotes and dukes,Больше банкнот и дюков,Más billetes y ducados
statReloadSpeedArchery,ui_display,Item stat,,"Reload speed: Archery","Скорость перезарядки: Лук и Арбалет","Velocidad de recarga, Arquería"
statCrouchSpeed,ui_display,Item stat,,Speed in stealth,Скорость в стелсе,Velocidad en sigilo
statFoodAndWaterLost,ui_display,Item stat,,Food and water consumption. Run,Расход еды и воды. Бег,"Consumo de comida y agua. Correr"
statReloadSpeed,ui_display,Item stat,,Reload speed,Скорость перезарядки,Velocidad de recarga
statMaxStaminaBonus,ui_display,Item stat,,Stamina Bonus,Бонус к макс. выносливости,Bonificación de resistencia
statStaminaRegenRunning,ui_display,Item stat,,Stamina regen. Run,Восстановление выносливости. Бег,"Regeneración de resistencia. Correr"
statBarteringSelling,ui_display,Item stat,,Bartering (Selling),Обмен (Продажа),Trueque (Venta)
statReloadSpeedGunslinger,ui_display,Item stat,,"Reload speed: Gunslinger","Скорость перезарядки: Пистолет и ПП","Velocidad de recarga, Pistolero"
statFoodHealthAmount,ui_display,Item stat,,Health bonus from food,Бонус к здоровью от еды,Bonificación de salud por comida
statAttacksPerMinuteKnives,ui_display,Item stat,,"Attack speed: Knives","Скорость атаки: Ножи и Мачете","Velocidad de ataque, Cuchillos"
statAttacksPerMinuteClubs,ui_display,Item stat,,"Attack speed: Clubs and Hammers","Скорость атаки: Дубин и Кувалд","Velocidad de ataque, Garrotes y Martillos"
statAttacksPerMinuteSalvaging,ui_display,Item stat,,"Attack speed: Salvaging","Скорость атаки: Разбор","Velocidad de ataque, Desguace"

statReloadSpeedMultiplier,ui_display,Item stat,,"Reload speed: All weapon","Скорость перезарядки: Все оружия","Velocidad de recarga, Todas las armas"
statReloadSpeedAutomaticWeapon,ui_display,Item stat,,"Reload speed: Machine Gunner","Скорость перезарядки: Автомат","Velocidad de recarga, Ametrallador"
statReloadSpeedSniper,ui_display,Item stat,,"Reload speed: Sniper Rifles","Скорость перезарядки: Снайперские винтовки","Velocidad de recarga, Rifles de francotirador"
