Key,Source,Context,Changes,English,Russian,Spanish

resourceExperimentalAlloys,items,Resources,,Experimental alloys,Экспериментальные сплавы,Aleaciones experimentales
resourceExperimentalAlloysDesc,items,Resources,,"The rarest, but at the same time the most sought after type of alloy. It is extremely difficult to find in the quarantine zone, but it is possible to exchange it through the [DECEA3]Radio Station.[-]\nUsed to work with experimental technologies.","Самый редкий и востребованный вид сплавов. В зоне карантина его найти крайне сложно, но возможно выменять через [DECEA3]Радиостанцию.[-]\n\nИспользуется для работы с экспериментальными технологиями.","El tipo de aleación más raro, pero al mismo tiempo el más buscado. Es extremadamente difícil de encontrar en la zona de cuarentena, pero es posible intercambiarlo a través de la [DECEA3]Estación de Radio.[-]\nSe utiliza para trabajar con tecnologías experimentales."
resourceUltraStrengthAlloys,items,Resources,,Ultra strength alloys,Сверхпрочные сплавы,Aleaciones ultrarresistentes
resourceUltraStrengthAlloysDesc,items,Resources,,"A rare type of alloy. Can be found in the quarantine zone or exchanged through the [DECEA3]Radio Station.[-]\nUsed for improvements and crafting.","Редкий вид сплавов. Возможно найти в зоне карантина или выменять через [DECEA3]Радиостанцию.[-]\nИспользуется для улучшений и крафта.","Un tipo raro de aleación. Se puede encontrar en la zona de cuarentena o intercambiar a través de la [DECEA3]Estación de Radio.[-]\nSe utiliza para mejoras y fabricación."
resourceUltraLightAlloys,items,Resources,,Ultra light alloys,Сверхлегкие сплавы,Aleaciones ultraligeras
resourceUltraLightAlloysDesc,items,Resources,,"A rare type of alloy. Can be found in the quarantine zone or exchanged through the [DECEA3]Radio Station.[-]\nUsed for improvements and crafting.","Редкий вид сплавов. Возможно найти в зоне карантина или выменять через [DECEA3]Радиостанцию.[-]\nИспользуется для улучшений и крафта.","Un tipo raro de aleación. Se puede encontrar en la zona de cuarentena o intercambiar a través de la [DECEA3]Estación de Radio.[-]\nSe utiliza para mejoras y fabricación."

UltraLightAlloys_BundleSmall,items,Resources,,Ultra light alloys [DECEA3]Bundle Small[-],Сверхлегкие сплавы: [DECEA3]Малый набор[-],Aleaciones ultraligeras [DECEA3]Paquete Pequeño[-].
UltraLightAlloys_BundleSmallDesc,items,Resources,,"Contains 10 [DECEA3]Ultra light alloys[-]\nClick [DECEA3]Open[-] to get the ingots.","Содержит 10 [DECEA3]Сверхлегких сплавов.[-]\nНажмите [DECEA3]«Открыть»[-] чтобы получить слитки.","Contiene 10 [DECEA3]aleaciones ultraligeras[-]\nHaz clic en [DECEA3]Abrir[-] para obtener los lingotes."
UltraLightAlloys_BundleMedium,items,Resources,,Ultra light alloys [DECEA3]Bundle Medium[-],Сверхлегкие сплавы: [DECEA3]Средний набор[-],Aleaciones ultraligeras [DECEA3]Paquete Mediano[-].
UltraLightAlloys_BundleMediumDesc,items,Resources,,"Contains 50 [DECEA3]Ultra light alloys[-]\nClick [DECEA3]Open[-] to get the ingots.","Содержит 50 [DECEA3]Сверхлегких сплавов.[-]\nНажмите [DECEA3]«Открыть»[-] чтобы получить слитки.","Contiene 50 [DECEA3]aleaciones ultraligeras[-]\nHaz clic en [DECEA3]Abrir[-] para obtener los lingotes."
UltraLightAlloys_BundleBig,items,Resources,,Ultra light alloys [DECEA3]Bundle Big[-],Сверхлегкие сплавы: [DECEA3]Большой набор[-],Aleaciones ultraligeras [DECEA3]Paquete Grande[-].
UltraLightAlloys_BundleBigDesc,items,Resources,,"Contains 100 [DECEA3]Ultra light alloys[-]\nClick [DECEA3]Open[-] to get the ingots.","Содержит 100 [DECEA3]Сверхлегких сплавов.[-]\nНажмите [DECEA3]«Открыть»[-] чтобы получить слитки.","Contiene 100 [DECEA3]aleaciones ultraligeras[-]\nHaz clic en [DECEA3]Abrir[-] para obtener los lingotes."

UltraStrengthAlloys_BundleSmall,items,Resources,,Ultra strength alloys [DECEA3]Bundle Small[-],Сверхпрочные сплавы: [DECEA3]Малый набор[-],Aleaciones ultrarresistentes [DECEA3]Paquete Pequeño[-].
UltraStrengthAlloys_BundleSmallDesc,items,Resources,,"Contains 10 [DECEA3]Ultra strength alloys[-]\nClick [DECEA3]Open[-] to get the ingots.","Содержит 10 [DECEA3]Сверхпрочных сплавов.[-]\nНажмите [DECEA3]«Открыть»[-] чтобы получить слитки.","Contiene 10 [DECEA3]aleaciones ultrarresistentes[-]\nHaz clic en [DECEA3]Abrir[-] para obtener los lingotes."
UltraStrengthAlloys_BundleMedium,items,Resources,,Ultra strength alloys [DECEA3]Bundle Medium[-],Сверхпрочные сплавы: [DECEA3]Средний набор[-],Aleaciones ultrarresistentes [DECEA3]Paquete Mediano[-].
UltraStrengthAlloys_BundleMediumDesc,items,Resources,,"Contains 50 [DECEA3]Ultra strength alloys[-]\nClick [DECEA3]Open[-] to get the ingots.","Содержит 50 [DECEA3]Сверхпрочных сплавов.[-]\nНажмите [DECEA3]«Открыть»[-] чтобы получить слитки.","Contiene 50 [DECEA3]aleaciones ultrarresistentes[-]\nHaz clic en [DECEA3]Abrir[-] para obtener los lingotes."
UltraStrengthAlloys_BundleBig,items,Resources,,Ultra strength alloys [DECEA3]Bundle Big[-],Сверхпрочные сплавы: [DECEA3]Большой набор[-],Aleaciones ultrarresistentes [DECEA3]Paquete Grande[-].
UltraStrengthAlloys_BundleBigDesc,items,Resources,,"Contains 100 [DECEA3]Ultra strength alloys[-]\nClick [DECEA3]Open[-] to get the ingots.","Содержит 100 [DECEA3]Сверхпрочных сплавов.[-]\nНажмите [DECEA3]«Открыть»[-] чтобы получить слитки.","Contiene 100 [DECEA3]aleaciones ultrarresistentes[-]\nHaz clic en [DECEA3]Abrir[-] para obtener los lingotes."

ExperimentalAlloys_BundleSmall,items,Resources,,Experimental alloys [DECEA3]Bundle Small[-],Экспериментальные сплавы: [DECEA3]Малый набор[-],Aleaciones experimentales [DECEA3]Paquete Pequeño[-].
ExperimentalAlloys_BundleSmallDesc,items,Resources,,"Contains 10 [DECEA3]Experimental alloys[-]\nClick [DECEA3]Open[-] to get the ingots.","Содержит 10 [DECEA3]Экспериментальных сплавов.[-]\nНажмите [DECEA3]«Открыть»[-] чтобы получить слитки.","Contiene 10 [DECEA3]aleaciones experimentales[-]\nHaz clic en [DECEA3]Abrir[-] para obtener los lingotes."
ExperimentalAlloys_BundleMedium,items,Resources,,Experimental alloys [DECEA3]Bundle Medium[-],Экспериментальные сплавы: [DECEA3]Средний набор[-],Aleaciones experimentales [DECEA3]Paquete Mediano[-].
