Key,Source,Context,Changes,English,Russian,Spanish

emptyJars,items,Item,,Empty Jars,Пустые банки,Frascos vacíos
emptyBottles,items,Item,,Empty Bottles,Пустые бутыли,Botellas vacías

xuiMinerFuel,items,Item,,Fuel,Топливо,Combustible

dewCollectorHasDirtyWater,UI,Use Prompt,,{0} Open {1} ([CABE21]Dirty water[-]),{0}: открыть {1} ([CABE21]Грязная вода[-]),{0} Abierto {1} ([CABE21]Agua sucia[-])
dewCollectorHasCleanWater,UI,Use Prompt,,{0} Open {1} ([00ADD8]Clean water[-]),{0}: открыть {1} ([00ADD8]Чистая вода[-]),{0} Abierto {1} ([00ADD8]Agua limpia[-])

AutoMinerIronHasItemText,UI,Use Prompt,,{0} Open {1} ([CFEDFF]Iron reserves[-]),{0}: открыть {1} ([CFEDFF]Запас железа[-]),{0} Abierto {1} ([CFEDFF]Reservas de hierro[-])
AutoMinerLeadHasItemText,UI,Use Prompt,,{0} Open {1} ([CFEDFF]Lead reserves[-]),{0}: открыть {1} ([CFEDFF]Запас свинца[-]),{0} Abierto {1} ([CFEDFF]Reservas de plomo[-])
AutoMinerNitrateHasItemText,UI,Use Prompt,,{0} Open {1} ([CFEDFF]Potassium Nitrate reserves[-]),{0}: открыть {1} ([CFEDFF]Запас порошковой селитры[-]),{0} Abierto {1} ([CFEDFF]Reservas de nitrato de potasio[-])
AutoMinerCoalHasItemText,UI,Use Prompt,,{0} Open {1} ([CFEDFF]Coal reserves[-]),{0}: открыть {1} ([CFEDFF]Запас угля[-]),{0} Abierto {1} ([CFEDFF]Reservas de carbón[-])
AutoMinerClayHasItemText,UI,Use Prompt,,{0} Open {1} ([CFEDFF]Clay reserves[-]),{0}: открыть {1} ([CFEDFF]Запас глины[-]),{0} Abierto {1} ([CFEDFF]Reservas de arcilla[-])
AutoMinerShaleHasItemText,UI,Use Prompt,,{0} Open {1} ([CFEDFF]Shale reserves[-]),{0}: открыть {1} ([CFEDFF]Запас сланца[-]),{0} Abierto {1} ([CFEDFF]Reservas de esquisto[-])

xuiFuel,UI,XUI,,Fuel,Топливо,Combustible
xuiScrap,UI,XUI,,Resources,Ресурсы,Recursos
xuiAutoMinerIron,UI,XUI,,Iron mining,Добыча железа,Minería de hierro
xuiAutoMinerCoal,UI,XUI,,Coal mining,Добыча угля,Minería de carbón
xuiAutoMinerNitrate,UI,XUI,,Potassium Nitrate mining,Добыча селитры,Minería de nitrato de potasio
xuiAutoMinerLead,UI,XUI,,Lead mining,Добыча свинца,Minería de plomo
xuiAutoMinerShale,UI,XUI,,Shale mining,Добыча сланца,Minería de esquisto
xuiAutoMinerClay,UI,XUI,,Clay mining,Добыча глины,Minería de arcilla

resourceClayLumpBundle,items,Item,,Stack of Сlay Lump(12000),Запас глины (12000),Pila de terrones de arcilla (12000)
resourceClayLumpBundleDesc,items,Item,,This is a compact stack of clay lump. Use this item to open and unpack it.,"Компактный запас глины. Используйте, чтобы распаковать его.",Esta es una pila compacta de terrones de arcilla. Úsala para abrirla y desempacarla.

recyclerSmallMechanicsVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Small mechanical items,[CDD2FF]Переработка:[-] Мелкие механические предметы,[CDD2FF]Reciclaje:[-] Pequeños artículos mecánicos
recyclerSmallMechanicsDesc,blocks,Variant,,Items for recycling. Used to create [DECEA3]Small Mechanical Parts Kit[-] in the Recycler.,Предметы для переработки. Используются для создания [DECEA3]Малого набора механических частей[-] в Переработчике.,Artículos para reciclar. Se utiliza para crear [DECEA3]Kit de piezas mecánicas pequeñas[-] en el reciclador.
recyclerMediumMechanicsDesc,blocks,Variant,,Items for recycling. Used to create [DECEA3]Medium Mechanical Parts Set[-] in the Recycler.,Предметы для переработки. Используются для создания [DECEA3]Среднего набора механических частей[-] в Переработчике.,Artículos para reciclar. Se utilizan para crear [DECEA3]Conjunto de piezas mecánicas medianas[-] en el Reciclador.
recyclerMediumMechanicsVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Medium mechanical items,[CDD2FF]Переработка:[-] Средние механические предметы,[CDD2FF]Reciclaje:[-] Artículos mecánicos medianos
recyclerBedMadeVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Beds,[CDD2FF]Переработка:[-] Кровать,[CDD2FF]Reciclaje:[-] Camas
recyclerBedMadeVariantHelperDesc,blocks,Variant,,Items for recycling. Used to create [DECEA3]Medium Mechanical Parts Set[-] in the Recycler.\n\nCan also be used for rest and medium recovery of strength reserves.,Предметы для переработки. Используются для создания [DECEA3]Среднего набора механических частей[-] в Переработчике.\n\nТакже может быть использована для отдыха и среднего восстановления запаса сил.,Artículos para reciclar. Se utilizan para crear [DECEA3]Conjunto de piezas mecánicas medianas[-] en el Reciclador.\n\nTambién se puede utilizar para el descanso y la recuperación media de las reservas de fuerza.
recyclerMedicalBedVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Medical beds,[CDD2FF]Переработка:[-] Медицинская койка,[CDD2FF]Reciclaje:[-] Camas médicas
recyclerMedicalBedVariantHelperDesc,blocks,Variant,,Items for recycling. Used to create [DECEA3]Medium Mechanical Parts Set[-] in the Recycler.\n\nCan also be used to restore character health and critical effects.,Предметы для переработки. Используются для создания [DECEA3]Среднего набора механических частей[-] в Переработчике.\n\nТакже может быть использована для восстановления здоровья персонажа и критических эффектов.,Artículos para reciclar. Se utilizan para crear [DECEA3]Conjunto de piezas mecánicas medianas[-] en el Reciclador.\n\nTambién se puede utilizar para restaurar la salud del personaje y los efectos críticos.
recyclerGYMVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Sports equipment,[CDD2FF]Переработка:[-] Спортивный инвентарь,[CDD2FF]Reciclaje:[-] Equipo deportivo
recyclerGYMLargeMechanicsDesc,blocks,Variant,,Items for recycling. Used to create [DECEA3]Large Mechanical Parts Set[-] in the Recycler.\n\nThe equipment can also be used for training.,Предметы для переработки. Используются для создания [DECEA3]Большого набора механических частей[-] в Переработчике.\n\nТакже инвентарь может быть использован для тренировок.,Artículos para reciclar. Se utilizan para crear [DECEA3]Conjunto de piezas mecánicas grandes[-] en el Reciclador.\n\nEl equipo también se puede utilizar para entrenamiento.
recyclerLargeMechanicsVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Large mechanical items,[CDD2FF]Переработка:[-] Крупные механические предметы,[CDD2FF]Reciclaje:[-] Grandes mecánicos medianos
recyclerLargeMechanicsDesc,blocks,Variant,,Items for recycling. Used to create [DECEA3]Large Mechanical Parts Set[-] in the Recycler.,Предметы для переработки. Используются для создания [DECEA3]Большого набора механических частей[-] в Переработчике.,Artículos para reciclar. Se utilizan para crear [DECEA3]Conjunto de piezas mecánicas grandes[-] en el Reciclador.
recyclerSmallElectronicsVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Small electrical appliances,[CDD2FF]Переработка:[-] Мелкие электроприборы,[CDD2FF]Reciclaje:[-] Pequeños electrodomésticos
recyclerSmallElectronicsDesc,blocks,Variant,,Items for recycling. Used to create [DECEA3]Small Electrical Parts Kit[-] in the Recycler.,Предметы для переработки. Используются для создания [DECEA3]Малого набора электрических частей[-] в Переработчике.,Artículos para reciclar. Se utiliza para crear [DECEA3]Kit de piezas eléctricas pequeñas[-] en el reciclador.

recyclerMEGeneralVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Average electronics,[CDD2FF]Переработка:[-] Электроника средняя,[CDD2FF]Reciclaje:[-] Electrónica promedio
recyclerMEConditionVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Air conditioners,[CDD2FF]Переработка:[-] Кондиционеры,[CDD2FF]Reciclaje:[-] Acondicionadores de aire
recyclerMESatelliteVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Satellite unit,[CDD2FF]Переработка:[-] Спутниковый блок,[CDD2FF]Reciclaje:[-] Unidad de satélite
recyclerMEKitchenVariantHelper,blocks,Variant,,[CDD2FF]Recycling:[-] Kitchen appliances,[CDD2FF]Переработка:[-] Кухонная техника,[CDD2FF]Reciclaje:[-] Electrodomésticos de cocina
