Key,Source,Context,Changes,English,Russian,Spanish

pickupPrompt,UI,HUD,,Press {{0}} to [8692FF]pick up[-]: {0},"Нажмите {{0}}, чтобы [8692FF]подобрать[-]: {0}","Presiona {{0}} para [8692FF]recoger[-]: {0}"
lootTooltipEmpty,UI,Use Prompt,,[DECEA3]Empty[-] {1},{1}: [DECEA3]пусто[-],[DECEA3]Vacío[-] {1}
lootTooltipNew,UI,Use Prompt,,{0} Search {1} [9DEF5D](Untouched)[-],{0}: обыскать ({1}) [9DEF5D](нетронуто)[-],{0} Buscar {1} [9DEF5D](Intacto)[-]

buffmodMeleeStunBatonRepulsorName,buffs,buff,,Active,Активен,Activo
buffmodMeleeStunBatonRepulsorTooltip,buffs,buff,,Repulsor active,Репульсор активен,Repulsor activo
buffmodMeleeStunBatonRepulsorIncDesc,buffs,Buff,,"The repulsor in the stun baton is active","Репульсор в оглушающем жезле активен","El repulsor en la varilla aturdidora está activo"
StunBatonRepulsor,buffs,buff,,Repulsor,Репульсор,Repulsor

perkLockPickingRank1LongDesc,progression,perk Per,,Burglar."You gain experience. You can pick locks [DECEA3]15%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]10%[-]. Damage to safes is increased by [DECEA3]10%[-].","Взломщик. Вы набираетесь опыта. Вы можете на [DECEA3]15%[-] быстрее взламывать замки, а вероятность сломать отмычку снижена на [DECEA3]10%[-]. Урон по сейфам увеличен на [DECEA3]10%[-].","Ladrón. Ganas experiencia. Puedes abrir cerraduras un [DECEA3]15%[-] más rápido y la probabilidad de romper una ganzúa se reduce un [DECEA3]10%[-]. El daño a las cajas fuertes aumenta un [DECEA3]10%[-]."
perkLockPickingRank2LongDesc,progression,perk Per,,Burglar."You've now become a locksmith. There are few locks in the world that can hold you back. You can pick locks [DECEA3]30%[-] faster, and the chance of breaking a lockpick is reduced by [DECEA3]20%[-]. If you can find lockpicks in your loot, you'll find one more. Damage to safes is increased by [DECEA3]20%[-].","Теперь вы стали слесарем. Мало найдется в мире замков, которые вас удержат. Вы можете на [DECEA3]30%[-] быстрее взламывать замки, а вероятность сломать отмычку снижена на [DECEA3]20%[-]. Если в добыче можно найти отмычки, то вы найдете на 1 больше. Урон по сейфам увеличен на [DECEA3]20%[-].","Ahora te has convertido en cerrajero. Pocas cerraduras en el mundo te pueden frenar. Puedes abrir cerraduras un [DECEA3]30%[-] más rápido y la probabilidad de romper una ganzúa se reduce un [DECEA3]20%[-]. Si encuentras ganzúas en tu botín, encontrarás una más. El daño a las cajas fuertes aumenta un [DECEA3]20%[-]."
